 Sonnet Data File
 From: sonnet Version : 18.56
 From Project: PC2_1_1_test
 Data is De-embedded 
 Data File Written: 04/29/2026 16:16:57
Project Date: 04/29/2026 15:39:53
R 50.00000
Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
Lk = 0.0
7.000000000000000,-0.278074154557,-0.241690892729,0.6189614591743,-0.690895702126,0.6189614591742,-0.690895702126,-0.273321267285,-0.247034298906
7.005000000000001,-0.278344298395,-0.241655056814,0.6185349444123,-0.691180334949,0.6185349444123,-0.691180334949,-0.273588310525,-0.247007840096
7.010000000000001,-0.278614363820,-0.241618928245,0.6181083705310,-0.691464667609,0.6181083705310,-0.691464667609,-0.273855281474,-0.246981096201
7.015000000000001,-0.278884350770,-0.241582507192,0.6176817379602,-0.691748700316,0.6176817379602,-0.691748700316,-0.274122179822,-0.246954067270
7.020000000000000,-0.279154258950,-0.241545793829,0.6172550469448,-0.692032433214,0.6172550469448,-0.692032433214,-0.274389005283,-0.246926753470
7.025000000000000,-0.279424088062,-0.241508788332,0.6168282977295,-0.692315866450,0.6168282977295,-0.692315866450,-0.274655757570,-0.246899154972
7.030000000000000,-0.279693837811,-0.241471490877,0.6164014905586,-0.692599000170,0.6164014905586,-0.692599000170,-0.274922436396,-0.246871271945
7.035000000000000,-0.279963507903,-0.241433901639,0.6159746256759,-0.692881834519,0.6159746256759,-0.692881834519,-0.275189041474,-0.246843104558
7.040000000000000,-0.280233098042,-0.241396020793,0.6155477033247,-0.693164369644,0.6155477033247,-0.693164369644,-0.275455572518,-0.246814652982
7.045000000000001,-0.280502607933,-0.241357848517,0.6151207237482,-0.693446605691,0.6151207237482,-0.693446605691,-0.275722029243,-0.246785917387
7.050000000000001,-0.280772037283,-0.241319384986,0.6146936871889,-0.693728542807,0.6146936871889,-0.693728542807,-0.275988411365,-0.246756897942
7.055000000000001,-0.281041385797,-0.241280630377,0.6142665938889,-0.694010181139,0.6142665938889,-0.694010181139,-0.276254718597,-0.246727594820
7.060000000000000,-0.281310653183,-0.241241584866,0.6138394440901,-0.694291520833,0.6138394440901,-0.694291520833,-0.276520950655,-0.246698008190
7.065000000000000,-0.281579839148,-0.241202248631,0.6134122380338,-0.694572562037,0.6134122380338,-0.694572562037,-0.276787107256,-0.246668138224
7.070000000000000,-0.281848943398,-0.241162621849,0.6129849759610,-0.694853304898,0.6129849759610,-0.694853304898,-0.277053188115,-0.246637985092
7.075000000000000,-0.282117965641,-0.241122704697,0.6125576581121,-0.695133749564,0.6125576581121,-0.695133749564,-0.277319192949,-0.246607548967
7.080000000000000,-0.282386905586,-0.241082497352,0.6121302847274,-0.695413896183,0.6121302847274,-0.695413896183,-0.277585121476,-0.246576830019
7.085000000000001,-0.282655762942,-0.241041999994,0.6117028560465,-0.695693744902,0.6117028560465,-0.695693744902,-0.277850973413,-0.246545828422
