Lk	f_r_Hz
1	13355564100.385786
2	12365950689.076462
3	11571829410.592485
4	10914404037.911343
5	10357973322.430578
6	9878891770.443808
7	9460637844.610117
8	9091395810.273584
9	8762297825.018333
10	8466554869.909197
11	8198887428.629201
12	7955075907.673292
13	7731803627.624542
14	7526333534.915859
15	7336422003.659924
