Frequenza (Hz),Re(S21),Im(S21)
4021031031.031,-0.245,-0.877
4021141141.141,-0.247,-0.877
4021251251.251,-0.247,-0.875
4021361361.361,-0.250,-0.875
4021471471.471,-0.251,-0.875
4021581581.582,-0.253,-0.873
4021691691.692,-0.254,-0.873
4021801801.802,-0.256,-0.873
4021911911.912,-0.260,-0.871
4022022022.022,-0.261,-0.871
4022132132.132,-0.261,-0.871
4022242242.242,-0.265,-0.871
4022352352.352,-0.267,-0.871
4022462462.462,-0.268,-0.868
4022572572.573,-0.270,-0.868
4022682682.683,-0.274,-0.867
4022792792.793,-0.275,-0.866
4022902902.903,-0.278,-0.866
4023013013.013,-0.277,-0.865
4023123123.123,-0.280,-0.864
4023233233.233,-0.283,-0.864
4023343343.343,-0.283,-0.862
4023453453.453,-0.286,-0.861
4023563563.564,-0.287,-0.862
4023673673.674,-0.289,-0.859
4023783783.784,-0.293,-0.860
4023893893.894,-0.294,-0.860
4024004004.004,-0.295,-0.858
4024114114.114,-0.297,-0.859
4024224224.224,-0.301,-0.857
4024334334.334,-0.303,-0.857
4024444444.444,-0.304,-0.857
4024554554.555,-0.305,-0.854
4024664664.665,-0.308,-0.856
4024774774.775,-0.308,-0.853
4024884884.885,-0.310,-0.852
4024994994.995,-0.313,-0.851
4025105105.105,-0.315,-0.853
4025215215.215,-0.316,-0.851
4025325325.325,-0.318,-0.851
4025435435.435,-0.321,-0.850
4025545545.546,-0.322,-0.850
4025655655.656,-0.324,-0.849
4025765765.766,-0.328,-0.847
4025875875.876,-0.329,-0.846
4025985985.986,-0.329,-0.846
4026096096.096,-0.331,-0.844
4026206206.206,-0.333,-0.845
4026316316.316,-0.335,-0.842
4026426426.426,-0.338,-0.842
4026536536.537,-0.340,-0.843
4026646646.647,-0.339,-0.840
4026756756.757,-0.344,-0.838
4026866866.867,-0.345,-0.839
4026976976.977,-0.347,-0.839
4027087087.087,-0.348,-0.838
4027197197.197,-0.351,-0.837
4027307307.307,-0.353,-0.835
4027417417.417,-0.352,-0.836
4027527527.528,-0.356,-0.835
4027637637.638,-0.359,-0.834
4027747747.748,-0.359,-0.833
4027857857.858,-0.361,-0.830
4027967967.968,-0.362,-0.831
4028078078.078,-0.366,-0.829
4028188188.188,-0.368,-0.831
4028298298.298,-0.369,-0.828
4028408408.408,-0.372,-0.828
4028518518.519,-0.374,-0.825
4028628628.629,-0.374,-0.825
4028738738.739,-0.378,-0.826
4028848848.849,-0.377,-0.825
4028958958.959,-0.381,-0.823
4029069069.069,-0.383,-0.822
4029179179.179,-0.384,-0.821
4029289289.289,-0.385,-0.820
4029399399.399,-0.389,-0.820
4029509509.510,-0.390,-0.818
4029619619.620,-0.391,-0.817
4029729729.730,-0.393,-0.817
4029839839.840,-0.394,-0.816
4029949949.950,-0.397,-0.813
4030060060.060,-0.397,-0.814
4030170170.170,-0.399,-0.812
4030280280.280,-0.403,-0.812
4030390390.390,-0.405,-0.812
4030500500.501,-0.407,-0.810
4030610610.611,-0.408,-0.808
4030720720.721,-0.407,-0.810
4030830830.831,-0.409,-0.804
4030940940.941,-0.412,-0.807
4031051051.051,-0.413,-0.804
4031161161.161,-0.416,-0.805
4031271271.271,-0.419,-0.802
4031381381.381,-0.420,-0.801
4031491491.491,-0.424,-0.802
4031601601.602,-0.424,-0.800
4031711711.712,-0.426,-0.799
