Frequenza (Hz),Re(S21),Im(S21)
4090400400.400,-0.896,0.114
4090510510.511,-0.896,0.116
4090620620.621,-0.896,0.118
4090730730.731,-0.896,0.120
4090840840.841,-0.896,0.122
4090950950.951,-0.894,0.125
4091061061.061,-0.893,0.127
4091171171.171,-0.894,0.128
4091281281.281,-0.893,0.130
4091391391.391,-0.893,0.132
4091501501.502,-0.892,0.135
4091611611.612,-0.893,0.136
4091721721.722,-0.891,0.139
4091831831.832,-0.893,0.140
4091941941.942,-0.892,0.142
4092052052.052,-0.891,0.147
4092162162.162,-0.890,0.147
4092272272.272,-0.892,0.149
4092382382.382,-0.891,0.151
4092492492.492,-0.891,0.154
4092602602.603,-0.890,0.156
4092712712.713,-0.891,0.157
4092822822.823,-0.889,0.159
4092932932.933,-0.889,0.161
4093043043.043,-0.888,0.164
4093153153.153,-0.889,0.166
4093263263.263,-0.888,0.168
4093373373.373,-0.888,0.170
4093483483.483,-0.887,0.172
4093593593.594,-0.888,0.174
4093703703.704,-0.887,0.176
4093813813.814,-0.886,0.178
4093923923.924,-0.887,0.181
4094034034.034,-0.884,0.182
4094144144.144,-0.886,0.184
4094254254.254,-0.887,0.186
4094364364.364,-0.884,0.189
4094474474.474,-0.884,0.191
4094584584.585,-0.883,0.192
4094694694.695,-0.883,0.194
4094804804.805,-0.884,0.196
4094914914.915,-0.883,0.200
4095025025.025,-0.882,0.202
4095135135.135,-0.883,0.203
4095245245.245,-0.880,0.204
4095355355.355,-0.882,0.206
4095465465.465,-0.880,0.209
4095575575.576,-0.880,0.211
4095685685.686,-0.879,0.213
4095795795.796,-0.879,0.215
4095905905.906,-0.878,0.217
4096016016.016,-0.879,0.219
4096126126.126,-0.878,0.220
4096236236.236,-0.878,0.223
4096346346.346,-0.875,0.224
4096456456.456,-0.877,0.227
4096566566.567,-0.876,0.231
4096676676.677,-0.876,0.231
4096786786.787,-0.876,0.233
4096896896.897,-0.874,0.235
4097007007.007,-0.875,0.237
4097117117.117,-0.873,0.240
4097227227.227,-0.872,0.242
4097337337.337,-0.873,0.243
4097447447.447,-0.870,0.245
4097557557.558,-0.872,0.247
4097667667.668,-0.870,0.250
4097777777.778,-0.869,0.251
4097887887.888,-0.870,0.253
4097997997.998,-0.868,0.255
4098108108.108,-0.868,0.258
4098218218.218,-0.867,0.259
4098328328.328,-0.866,0.262
4098438438.438,-0.867,0.264
4098548548.549,-0.867,0.265
4098658658.659,-0.865,0.267
4098768768.769,-0.863,0.269
4098878878.879,-0.866,0.272
4098988988.989,-0.864,0.274
4099099099.099,-0.863,0.275
4099209209.209,-0.862,0.278
4099319319.319,-0.863,0.280
4099429429.429,-0.860,0.282
4099539539.540,-0.862,0.284
4099649649.650,-0.859,0.286
4099759759.760,-0.859,0.288
4099869869.870,-0.859,0.289
4099979979.980,-0.859,0.291
4100090090.090,-0.858,0.294
4100200200.200,-0.858,0.296
4100310310.310,-0.855,0.298
4100420420.420,-0.855,0.299
4100530530.531,-0.853,0.301
4100640640.641,-0.855,0.304
4100750750.751,-0.854,0.305
4100860860.861,-0.852,0.308
4100970970.971,-0.852,0.309
4101081081.081,-0.851,0.312
4101191191.191,-0.851,0.315
4101301301.301,-0.850,0.315
4101411411.411,-0.850,0.317
4101521521.522,-0.848,0.319
4101631631.632,-0.848,0.321
4101741741.742,-0.846,0.324
4101851851.852,-0.848,0.324
4101961961.962,-0.845,0.327
4102072072.072,-0.845,0.329
4102182182.182,-0.844,0.331
4102292292.292,-0.845,0.332
4102402402.402,-0.843,0.335
4102512512.513,-0.843,0.338
4102622622.623,-0.841,0.340
4102732732.733,-0.840,0.340
4102842842.843,-0.839,0.343
4102952952.953,-0.839,0.345
4103063063.063,-0.838,0.348
4103173173.173,-0.837,0.349
4103283283.283,-0.837,0.349
4103393393.393,-0.837,0.354
4103503503.504,-0.836,0.355
4103613613.614,-0.835,0.356
4103723723.724,-0.834,0.360
4103833833.834,-0.833,0.361
4103943943.944,-0.832,0.364
4104054054.054,-0.831,0.364
4104164164.164,-0.831,0.365
4104274274.274,-0.830,0.369
4104384384.384,-0.829,0.370
4104494494.494,-0.827,0.372
4104604604.605,-0.827,0.373
4104714714.715,-0.827,0.376
4104824824.825,-0.825,0.379
4104934934.935,-0.825,0.380
4105045045.045,-0.825,0.382
4105155155.155,-0.823,0.384
4105265265.265,-0.822,0.385
4105375375.375,-0.822,0.388
4105485485.485,-0.820,0.391
4105595595.596,-0.819,0.393
4105705705.706,-0.819,0.394
4105815815.816,-0.817,0.396
4105925925.926,-0.816,0.398
4106036036.036,-0.817,0.399
4106146146.146,-0.814,0.400
4106256256.256,-0.814,0.403
4106366366.366,-0.813,0.405
4106476476.476,-0.813,0.408
4106586586.587,-0.813,0.409
4106696696.697,-0.809,0.410
4106806806.807,-0.809,0.412
4106916916.917,-0.808,0.414
4107027027.027,-0.807,0.417
4107137137.137,-0.806,0.418
4107247247.247,-0.805,0.422
4107357357.357,-0.804,0.422
4107467467.467,-0.804,0.423
4107577577.578,-0.803,0.425
4107687687.688,-0.801,0.427
4107797797.798,-0.801,0.429
4107907907.908,-0.801,0.432
4108018018.018,-0.798,0.433
4108128128.128,-0.799,0.435
4108238238.238,-0.797,0.436
4108348348.348,-0.796,0.438
4108458458.458,-0.796,0.442
4108568568.569,-0.793,0.442
4108678678.679,-0.793,0.445
4108788788.789,-0.793,0.447
4108898898.899,-0.791,0.448
4109009009.009,-0.790,0.450
4109119119.119,-0.788,0.452
4109229229.229,-0.789,0.454
4109339339.339,-0.788,0.457
4109449449.449,-0.786,0.458
4109559559.560,-0.785,0.460
4109669669.670,-0.784,0.462
4109779779.780,-0.784,0.464
4109889889.890,-0.781,0.465
4110000000.000,-0.782,0.468
