frequency,Re(S21),Im(S21),Amplitude,phase
7811500000.0,-0.0082257269,0.00718224,0.010920034544404319,2.4238150891964034
7811501001.0,-0.0082083691,0.0071843923,0.010908382831663642,2.4226198889767576
7811502002.0,-0.008224696,0.0072141911,0.010940300613773608,2.421553191596241
7811503003.0,-0.0081930079,0.0072365926,0.010931315149964215,2.418101030983771
7811504004.0,-0.0081755676,0.0072589001,0.010933047893609072,2.4155157451283715
7811505005.0,-0.0081751115,0.0072678064,0.010938622303805596,2.414879209735733
7811506006.0,-0.0081532474,0.0072908202,0.01093761867841144,2.4119785266781473
7811507007.0,-0.0081524274,0.0072832951,0.010931992500269782,2.412441649095696
7811508008.0,-0.0081239198,0.0073143062,0.010931475111081326,2.408588633694674
7811509009.0,-0.0080792837,0.007320937,0.01090279522246725,2.405397332831786
7811510010.0,-0.0081278868,0.0073012125,0.010925669215373971,2.4097222171958257
7811511011.0,-0.0080844962,0.0073087447,0.010898478237698716,2.406547484375132
7811512012.0,-0.0080698233,0.0073195904,0.010894881904683275,2.404905860042462
7811513013.0,-0.0080482257,0.0073468848,0.010897277328884106,2.4017190952796517
7811514014.0,-0.0080633637,0.007334763,0.010900301941902649,2.403476713407347
7811515015.0,-0.008026003,0.0073378143,0.010874752542347503,2.4009573886315434
7811516016.0,-0.0080132427,0.0073463005,0.010871071226213336,2.399589238213984
7811517017.0,-0.0080343259,0.00736578,0.010899775579148903,2.399579022874084
7811518018.0,-0.0079875614,0.0073540706,0.010857416428808206,2.397463314987208
7811519019.0,-0.0079632972,0.0073683487,0.01084927024551972,2.3949802891450003
7811520020.0,-0.0079781958,0.0073600258,0.010854565306810001,2.3964752766092063
7811521021.0,-0.0079659297,0.0073587552,0.010844690593966668,2.395794461674774
7811522022.0,-0.0079520192,0.0073803446,0.010849151845739731,2.3934627100707435
7811523023.0,-0.0079409216,0.0073594374,0.010826797989334858,2.3941808202319197
7811524024.0,-0.007931491,0.0073816964,0.010835035358726522,2.3920824167633072
7811525025.0,-0.0079143013,0.0073859391,0.010825352717398658,2.3907137074214444
7811526026.0,-0.007924599,0.0073827698,0.010830722932038886,2.3915763436835418
7811527027.0,-0.0079055594,0.0073907518,0.010822249377838768,2.3898374613878572
7811528028.0,-0.0078851102,0.0073575108,0.010784615340301233,2.3907941071190004
7811529029.0,-0.0078732306,0.0073794169,0.010790901438933726,2.388558791094167
7811530030.0,-0.0078693975,0.0073843878,0.010791505927987765,2.3879798040251865
7811531031.0,-0.007855709,0.0074050576,0.010795695528866993,2.3857159740905125
7811532032.0,-0.0078307845,0.007397569,0.010772428370390831,2.384634773747706
7811533033.0,-0.0078497589,0.0074174983,0.010799907213426978,2.3844998463382825
7811534034.0,-0.0078139935,0.0074179618,0.010774258753357536,2.3821886904672507
7811535035.0,-0.007831704,0.0074111879,0.010782453043381287,2.3837751795566624
7811536036.0,-0.0077895139,0.0074016741,0.010745292284572999,2.381719522661011
7811537037.0,-0.0077799938,0.0074257666,0.01075501339495744,2.3794858701466137
7811538038.0,-0.0077852811,0.0074469604,0.010773477665321694,2.3784016671797112
7811539039.0,-0.0077953408,0.0074540114,0.010785621175411021,2.3785739598078846
7811540040.0,-0.0077664019,0.0074250013,0.010744656475538216,2.378663984177632
7811541041.0,-0.0077518139,0.0074119003,0.010725058731651462,2.378606986133719
7811542042.0,-0.0077357269,0.0074052076,0.010708808069551035,2.3780205415800735
7811543043.0,-0.0077126153,0.00743058,0.010709713063485598,2.3748168939156256
7811544044.0,-0.0077304953,0.0074161586,0.010712607804063213,2.3769443922724123
7811545045.0,-0.0076997517,0.0074287599,0.010699189216641647,2.3741052291320783
7811546046.0,-0.0076674258,0.0074477272,0.010689156133396382,2.3707284568912304
7811547047.0,-0.0076656961,0.0074376814,0.010680917624692232,2.3712902778416356
7811548048.0,-0.0076657309,0.0074365765,0.010680173232282661,2.371366795322193
7811549049.0,-0.0076657928,0.0074649563,0.010699997748291423,2.369467111742589
7811550050.0,-0.0076551868,0.0074393028,0.010674507533979359,2.3704956880255534
7811551051.0,-0.0076280419,0.0074500233,0.010662545212035374,2.368000403407491
