# Frequency	I_corrected	Q_corrected
1.00300000e+10	1.38514613e-03	-9.02317179e-04
1.00306000e+10	1.39060002e-03	-8.94799462e-04
1.00312000e+10	1.36120983e-03	-9.07926917e-04
1.00318000e+10	1.40780841e-03	-9.17637633e-04
1.00324000e+10	1.35027757e-03	-1.02204130e-03
1.00330000e+10	1.33594583e-03	-1.01418854e-03
1.00336000e+10	1.36616369e-03	-9.49600819e-04
1.00342000e+10	1.30972158e-03	-1.05803206e-03
1.00348000e+10	1.31210427e-03	-1.01773838e-03
1.00354000e+10	1.28675926e-03	-1.05867485e-03
1.00360000e+10	1.30466290e-03	-1.07591097e-03
1.00366000e+10	1.29778877e-03	-1.07629910e-03
1.00372000e+10	1.28394045e-03	-1.13516616e-03
1.00378000e+10	1.24584308e-03	-1.14903360e-03
1.00384000e+10	1.28999091e-03	-1.12952397e-03
1.00390000e+10	1.28344278e-03	-1.18952881e-03
1.00396000e+10	1.28788008e-03	-1.19242518e-03
1.00402000e+10	1.22759490e-03	-1.19366956e-03
1.00408000e+10	1.26865187e-03	-1.22020915e-03
1.00414000e+10	1.20366424e-03	-1.22222804e-03
1.00420000e+10	1.21564589e-03	-1.22624359e-03
1.00426000e+10	1.22054121e-03	-1.24894308e-03
1.00432000e+10	1.19865377e-03	-1.29445786e-03
1.00438000e+10	1.18230229e-03	-1.31036291e-03
1.00444000e+10	1.17315301e-03	-1.36293131e-03
1.00450000e+10	1.10478376e-03	-1.36090547e-03
1.00456000e+10	1.12274422e-03	-1.32698651e-03
1.00462000e+10	1.12038521e-03	-1.35030621e-03
1.00468000e+10	1.10585075e-03	-1.46044156e-03
1.00474000e+10	1.08956666e-03	-1.40544230e-03
1.00480000e+10	1.10624487e-03	-1.48231052e-03
1.00486000e+10	1.06036554e-03	-1.40752568e-03
1.00492000e+10	1.02767113e-03	-1.45844103e-03
1.00498000e+10	1.04838154e-03	-1.47757195e-03
1.00504000e+10	1.02783392e-03	-1.52043033e-03
1.00510000e+10	1.00876971e-03	-1.52888601e-03
1.00516000e+10	9.83877786e-04	-1.49813954e-03
1.00522000e+10	9.67424898e-04	-1.50973414e-03
1.00528000e+10	9.87441124e-04	-1.53856557e-03
1.00534000e+10	9.57588769e-04	-1.58745617e-03
1.00540000e+10	9.39068541e-04	-1.55901711e-03
1.00546000e+10	8.94747640e-04	-1.62913611e-03
1.00552000e+10	9.04996787e-04	-1.63938018e-03
1.00558000e+10	8.68638740e-04	-1.66464777e-03
1.00564000e+10	8.26419808e-04	-1.63249047e-03
1.00570000e+10	8.47301063e-04	-1.67920817e-03
1.00576000e+10	8.07930371e-04	-1.69407315e-03
1.00582000e+10	7.95788027e-04	-1.70028420e-03
