# Time(ns)	Voltage(mV)-A	Voltage(mV)-B
35904.000000 -8.056887 4.943999
36096.000000 -6.042665 5.981628
36288.000000 -7.019257 3.967406
36480.000000 -8.056887 2.990814
36672.000000 -3.051851 7.934812
36864.000000 -9.033479 2.990814
37056.000000 -4.028443 2.990814
37248.000000 -7.019257 -1.037629
37440.000000 -9.033479 4.943999
37632.000000 -7.019257 5.981628
37824.000000 -6.042665 2.990814
38016.000000 -13.000885 2.990814
38208.000000 -6.042665 4.943999
38400.000000 0.000000 2.990814
38592.000000 -11.047700 0.976592
38784.000000 -8.056887 1.953185
38976.000000 -11.047700 4.943999
39168.000000 -8.056887 7.934812
39360.000000 -4.028443 7.934812
39552.000000 -6.042665 1.953185
39744.000000 -8.056887 9.949034
39936.000000 -11.047700 6.958220
40128.000000 -9.033479 5.981628
40320.000000 -4.028443 6.958220
40512.000000 -18.005921 5.981628
40704.000000 -9.033479 4.943999
40896.000000 -7.019257 1.953185
41088.000000 -2.014222 5.981628
41280.000000 -4.028443 2.990814
41472.000000 -4.028443 2.990814
41664.000000 -9.033479 3.967406
41856.000000 -7.019257 6.958220
42048.000000 -7.019257 1.953185
42240.000000 -8.056887 2.990814
42432.000000 -12.024293 7.934812
42624.000000 -8.056887 6.958220
42816.000000 -16.052736 2.990814
43008.000000 -7.019257 2.990814
43200.000000 -11.047700 8.972442
43392.000000 -8.056887 4.943999
43584.000000 -12.024293 4.943999
43776.000000 -2.014222 6.958220
43968.000000 -10.010071 5.981628
44160.000000 -7.019257 3.967406
44352.000000 -6.042665 5.981628
44544.000000 -6.042665 1.953185
44736.000000 -4.028443 -1.037629
44928.000000 -6.042665 5.981628
45120.000000 -9.033479 2.990814
45312.000000 -8.056887 12.939848
45504.000000 -8.056887 4.943999
45696.000000 -4.028443 2.990814
45888.000000 -4.028443 3.967406
46080.000000 -7.019257 6.958220
46272.000000 0.976592 1.953185
46464.000000 -3.051851 4.943999
46656.000000 -3.051851 2.990814
46848.000000 -8.056887 6.958220
47040.000000 -5.005036 4.943999
47232.000000 -11.047700 2.990814
47424.000000 -6.042665 3.967406
47616.000000 -9.033479 3.967406
47808.000000 -9.033479 12.939848
48000.000000 -6.042665 3.967406
48192.000000 -3.051851 5.981628
48384.000000 -4.028443 1.953185
48576.000000 -4.028443 4.943999
48768.000000 -7.019257 7.934812
48960.000000 -6.042665 7.934812
49152.000000 -10.010071 5.981628
49344.000000 -3.051851 -2.014222
49536.000000 -12.024293 6.958220
49728.000000 -3.051851 1.953185
49920.000000 -5.005036 4.943999
50112.000000 -13.000885 9.949034
50304.000000 -4.028443 6.958220
50496.000000 -11.047700 0.000000
50688.000000 -10.010071 2.990814
50880.000000 -4.028443 4.943999
51072.000000 -7.019257 6.958220
51264.000000 -9.033479 0.976592
51456.000000 -13.000885 3.967406
51648.000000 -2.014222 7.934812
51840.000000 -3.051851 3.967406
52032.000000 -11.047700 5.981628
52224.000000 -8.056887 6.958220
52416.000000 -9.033479 5.981628
52608.000000 -6.042665 4.943999
52800.000000 -4.028443 1.953185
52992.000000 -7.019257 9.949034
53184.000000 -4.028443 2.990814
53376.000000 -6.042665 4.943999
53568.000000 -8.056887 0.000000
53760.000000 -10.010071 1.953185
53952.000000 -11.047700 6.958220
54144.000000 -9.033479 7.934812
54336.000000 -9.033479 3.967406
54528.000000 -12.024293 8.972442
54720.000000 -11.047700 2.990814
54912.000000 -6.042665 0.976592
55104.000000 -10.010071 6.958220
55296.000000 -7.019257 3.967406
55488.000000 -4.028443 4.943999
55680.000000 -9.033479 0.000000
55872.000000 -6.042665 2.990814
56064.000000 -10.010071 0.000000
56256.000000 -2.014222 8.972442
56448.000000 -4.028443 7.934812
56640.000000 -9.033479 7.934812
56832.000000 -3.051851 3.967406
57024.000000 -9.033479 6.958220
57216.000000 -10.010071 1.953185
57408.000000 -11.047700 0.000000
57600.000000 -8.056887 3.967406
57792.000000 -4.028443 4.943999
57984.000000 -5.005036 5.981628
58176.000000 -3.051851 2.990814
58368.000000 -6.042665 7.934812
58560.000000 -8.056887 6.958220
58752.000000 -7.019257 2.990814
58944.000000 -9.033479 0.976592
59136.000000 -7.019257 5.981628
59328.000000 -4.028443 3.967406
59520.000000 -8.056887 4.943999
59712.000000 -10.010071 3.967406
59904.000000 -3.051851 5.981628
60096.000000 0.976592 8.972442
60288.000000 -2.014222 4.943999
60480.000000 -3.051851 1.953185
60672.000000 -4.028443 6.958220
60864.000000 -7.019257 0.000000
61056.000000 -1.037629 0.976592
61248.000000 -10.010071 3.967406
61440.000000 -13.000885 6.958220
61632.000000 -10.010071 0.000000
61824.000000 -11.047700 5.981628
62016.000000 -11.047700 1.953185
62208.000000 -14.038514 3.967406
62400.000000 -17.029328 6.958220
62592.000000 -10.010071 8.972442
62784.000000 -2.014222 6.958220
62976.000000 -4.028443 8.972442
63168.000000 -5.005036 5.981628
63360.000000 -6.042665 4.943999
63552.000000 -11.047700 1.953185
63744.000000 -11.047700 6.958220
63936.000000 -5.005036 4.943999
64128.000000 -5.005036 1.953185
64320.000000 0.000000 1.953185
64512.000000 -4.028443 -5.005036
64704.000000 -3.051851 10.925626
64896.000000 -3.051851 1.953185
65088.000000 -10.010071 3.967406
65280.000000 -10.010071 4.943999
65472.000000 -14.038514 8.972442
65664.000000 -4.028443 2.990814
65856.000000 0.976592 6.958220
66048.000000 -11.047700 1.953185
66240.000000 -6.042665 6.958220
66432.000000 -12.024293 4.943999
66624.000000 -9.033479 0.976592
66816.000000 -3.051851 0.000000
67008.000000 -11.047700 4.943999
67200.000000 -13.000885 7.934812
67392.000000 -8.056887 4.943999
67584.000000 -9.033479 1.953185
67776.000000 -8.056887 6.958220
67968.000000 -10.010071 -2.014222
68160.000000 -10.010071 1.953185
68352.000000 -6.042665 0.000000
68544.000000 -8.056887 2.990814
68736.000000 -3.051851 3.967406
68928.000000 0.000000 2.990814
69120.000000 -7.019257 3.967406
69312.000000 -5.005036 1.953185
69504.000000 -5.005036 6.958220
69696.000000 -4.028443 8.972442
69888.000000 -3.051851 8.972442
70080.000000 -9.033479 1.953185
70272.000000 -15.015107 3.967406
70464.000000 -10.010071 5.981628
70656.000000 -12.024293 4.943999
70848.000000 -6.042665 5.981628
71040.000000 -10.010071 2.990814
71232.000000 -11.047700 1.953185
71424.000000 -10.010071 2.990814
71616.000000 -9.033479 0.976592
71808.000000 -9.033479 8.972442
72000.000000 -7.019257 6.958220
72192.000000 -6.042665 9.949034
72384.000000 -5.005036 5.981628
72576.000000 -4.028443 2.990814
72768.000000 -7.019257 3.967406
72960.000000 -7.019257 5.981628
73152.000000 -9.033479 3.967406
73344.000000 -7.019257 9.949034
73536.000000 -13.000885 4.943999
73728.000000 -4.028443 -2.014222
73920.000000 -7.019257 6.958220
74112.000000 -11.047700 3.967406
74304.000000 -5.005036 6.958220
74496.000000 -3.051851 3.967406
74688.000000 -4.028443 2.990814
74880.000000 -7.019257 2.990814
75072.000000 -8.056887 7.934812
75264.000000 -3.051851 2.990814
75456.000000 -4.028443 7.934812
75648.000000 -8.056887 7.934812
75840.000000 -6.042665 6.958220
76032.000000 -8.056887 11.963256
76224.000000 -10.010071 2.990814
76416.000000 -6.042665 3.967406
76608.000000 -6.042665 7.934812
