# Frequency	I_corrected	Q_corrected
1.35520000e+10	-2.57038065e-02	-1.44186020e-02
1.35521800e+10	-2.58775394e-02	-1.43491091e-02
1.35523600e+10	-2.59161792e-02	-1.41143845e-02
1.35525400e+10	-2.59614369e-02	-1.39300296e-02
1.35527200e+10	-2.59763775e-02	-1.38385503e-02
1.35529000e+10	-2.61142495e-02	-1.36394811e-02
1.35530800e+10	-2.63709799e-02	-1.36689816e-02
1.35532600e+10	-2.62716621e-02	-1.34240268e-02
1.35534400e+10	-2.66484751e-02	-1.34070150e-02
1.35536200e+10	-2.65633946e-02	-1.32999344e-02
1.35538000e+10	-2.66839300e-02	-1.31541372e-02
1.35539800e+10	-2.66120688e-02	-1.29311504e-02
1.35541600e+10	-2.65881055e-02	-1.27777126e-02
1.35543400e+10	-2.69662798e-02	-1.27280799e-02
1.35545200e+10	-2.69321092e-02	-1.26184168e-02
1.35547000e+10	-2.70804256e-02	-1.24373687e-02
1.35548800e+10	-2.73350048e-02	-1.23865977e-02
1.35550600e+10	-2.73566017e-02	-1.22438075e-02
1.35552400e+10	-2.75994917e-02	-1.21826691e-02
1.35554200e+10	-2.72529473e-02	-1.19510336e-02
1.35556000e+10	-2.75172727e-02	-1.17808480e-02
1.35557800e+10	-2.75428910e-02	-1.16085487e-02
1.35559600e+10	-2.75616153e-02	-1.13997100e-02
1.35561400e+10	-2.77511807e-02	-1.13899742e-02
1.35563200e+10	-2.79303516e-02	-1.12441914e-02
1.35565000e+10	-2.81812596e-02	-1.11804434e-02
1.35566800e+10	-2.81842338e-02	-1.10578773e-02
1.35568600e+10	-2.81520565e-02	-1.08834522e-02
1.35570400e+10	-2.83112060e-02	-1.07931504e-02
1.35572200e+10	-2.83000885e-02	-1.05804642e-02
1.35574000e+10	-2.83408912e-02	-1.04469284e-02
1.35575800e+10	-2.82514939e-02	-1.02457531e-02
1.35577600e+10	-2.85214101e-02	-1.01855565e-02
1.35579400e+10	-2.86612481e-02	-1.00702589e-02
1.35581200e+10	-2.86144362e-02	-9.92211141e-03
1.35583000e+10	-2.88498916e-02	-9.80461299e-03
1.35584800e+10	-2.88110325e-02	-9.63707401e-03
1.35586600e+10	-2.90242246e-02	-9.60626391e-03
1.35588400e+10	-2.88417093e-02	-9.37366119e-03
1.35590200e+10	-2.88606384e-02	-9.17257972e-03
1.35592000e+10	-2.91545706e-02	-9.11594728e-03
1.35593800e+10	-2.91206216e-02	-8.94226313e-03
1.35595600e+10	-2.92862274e-02	-8.82936043e-03
1.35597400e+10	-2.92757005e-02	-8.66072770e-03
