# Time(ns)	Voltage(mV)-A	Voltage(mV)-B
36096.000000 29.908139 -143.559069
36288.000000 14.954070 -145.512253
36480.000000 -4.028443 -146.549883
36672.000000 -15.991699 -141.544847
36864.000000 -43.946654 -140.568255
37056.000000 -61.952574 -124.576556
37248.000000 -73.915830 -123.599963
37440.000000 -91.860714 -108.645894
37632.000000 -101.870785 -98.696860
37824.000000 -118.839076 -78.737754
38016.000000 -132.816553 -61.830500
38208.000000 -140.812403 -42.909024
38400.000000 -147.770623 -27.954955
38592.000000 -147.770623 -8.972442
38784.000000 -151.799066 9.949034
38976.000000 -151.799066 24.903104
39168.000000 -147.770623 49.806207
39360.000000 -142.826624 72.695090
39552.000000 -145.817438 83.681753
39744.000000 -131.839961 109.561449
39936.000000 -120.853298 120.548112
40128.000000 -111.880856 128.543962
40320.000000 -92.898343 149.479659
40512.000000 -75.930052 158.452101
40704.000000 -61.952574 165.410321
40896.000000 -43.946654 172.368542
41088.000000 -20.996735 181.340983
41280.000000 -5.005036 169.377728
41472.000000 17.944884 175.359355
41664.000000 31.922361 171.391949
41856.000000 50.904874 169.377728
42048.000000 68.849757 164.372692
42240.000000 88.808863 151.432844
42432.000000 100.833155 137.516404
42624.000000 116.763817 124.515519
42816.000000 129.764702 107.608264
43008.000000 144.718772 84.658345
43200.000000 154.728843 65.736869
43392.000000 156.743065 57.741020
43584.000000 161.687063 34.852138
43776.000000 165.715506 22.888882
43968.000000 159.733879 -2.014222
44160.000000 155.705435 -26.917325
44352.000000 147.709586 -36.927396
44544.000000 144.718772 -58.839686
44736.000000 134.769738 -70.802942
44928.000000 122.745445 -92.715232
45120.000000 108.767968 -109.622486
45312.000000 92.837306 -113.650929
45504.000000 76.845607 -125.614185
45696.000000 61.891537 -138.554033
45888.000000 37.903989 -145.512253
46080.000000 15.930662 -147.526475
46272.000000 1.953185 -146.549883
46464.000000 -18.005921 -141.544847
46656.000000 -34.974212 -142.521439
46848.000000 -51.942503 -131.595813
47040.000000 -69.948424 -124.576556
47232.000000 -90.884121 -111.636708
47424.000000 -101.870785 -96.682638
47616.000000 -115.848262 -81.728568
47808.000000 -126.834925 -65.797906
48000.000000 -138.798181 -44.862209
48192.000000 -147.770623 -33.936583
48384.000000 -150.761437 -11.963256
48576.000000 -155.766472 7.934812
48768.000000 -154.789880 26.856288
48960.000000 -152.775658 46.815394
49152.000000 -151.799066 68.727683
49344.000000 -151.799066 84.658345
49536.000000 -135.807367 104.617450
49728.000000 -123.844111 109.561449
49920.000000 -107.852412 128.543962
50112.000000 -97.903378 140.507218
50304.000000 -84.902493 157.414472
50496.000000 -63.905759 164.372692
50688.000000 -45.960875 172.368542
50880.000000 -26.978362 173.345134
51072.000000 -12.024293 176.335948
51264.000000 4.943999 179.326762
51456.000000 24.903104 176.335948
51648.000000 49.867244 172.368542
51840.000000 68.849757 162.419507
52032.000000 85.818049 154.423658
52224.000000 104.800562 137.516404
52416.000000 110.782189 128.543962
52608.000000 128.788110 111.575671
52800.000000 134.769738 93.630787
52992.000000 151.738029 80.690939
53184.000000 151.738029 57.741020
53376.000000 157.719657 38.819544
53568.000000 161.687063 19.898068
53760.000000 158.696249 2.929777
53952.000000 162.724693 -16.968291
54144.000000 154.728843 -38.880581
54336.000000 151.738029 -52.858058
54528.000000 126.773888 -73.793756
54720.000000 121.768853 -86.733604
54912.000000 110.782189 -104.678488
55104.000000 97.842341 -111.636708
55296.000000 79.836421 -130.558184
55488.000000 63.844722 -142.521439
55680.000000 44.923246 -139.530625
55872.000000 18.921476 -150.517289
56064.000000 -2.014222 -144.535661
56256.000000 -10.986663 -150.517289
56448.000000 -29.969176 -139.530625
56640.000000 -53.956725 -131.595813
56832.000000 -69.948424 -125.614185
57024.000000 -80.874050 -113.650929
57216.000000 -96.865749 -104.678488
57408.000000 -115.848262 -86.733604
57600.000000 -128.849147 -67.812128
57792.000000 -138.798181 -50.843837
57984.000000 -150.761437 -31.922361
58176.000000 -153.813288 -17.944884
58368.000000 -154.789880 8.911405
58560.000000 -152.775658 23.865474
58752.000000 -155.766472 44.801172
58944.000000 -151.799066 58.778649
59136.000000 -146.794031 81.667531
59328.000000 -139.835810 95.645009
59520.000000 -123.844111 112.552263
59712.000000 -114.871670 125.553148
59904.000000 -96.865749 143.498032
60096.000000 -85.879086 147.465438
60288.000000 -66.896573 158.452101
60480.000000 -50.965911 168.401135
60672.000000 -29.969176 169.377728
60864.000000 -9.033479 176.335948
61056.000000 6.958220 179.326762
61248.000000 27.954955 178.350169
61440.000000 39.918210 172.368542
61632.000000 65.858943 163.396100
61824.000000 82.827235 154.423658
62016.000000 93.813898 138.492996
62208.000000 109.805597 126.529740
62400.000000 126.773888 112.552263
62592.000000 141.727958 101.626637
62784.000000 149.723807 79.714347
62976.000000 156.743065 64.760277
63168.000000 162.724693 44.801172
63360.000000 161.687063 24.903104
63552.000000 161.687063 9.949034
63744.000000 157.719657 -8.972442
63936.000000 150.700400 -35.889767
64128.000000 146.732994 -50.843837
64320.000000 136.722922 -73.793756
64512.000000 123.783074 -82.766198
64704.000000 114.810633 -102.664266
64896.000000 96.804712 -118.594928
65088.000000 84.841456 -124.576556
65280.000000 64.882351 -129.581591
65472.000000 44.923246 -141.544847
65664.000000 30.945769 -140.568255
65856.000000 9.949034 -146.549883
66048.000000 -9.033479 -153.508103
66240.000000 -29.969176 -143.559069
66432.000000 -48.951689 -137.577441
66624.000000 -64.943388 -126.590777
66816.000000 -79.897458 -109.622486
67008.000000 -99.856563 -102.664266
67200.000000 -111.880856 -92.715232
67392.000000 -125.858333 -69.765313
67584.000000 -131.839961 -53.834651
67776.000000 -141.788995 -33.936583
67968.000000 -150.761437 -15.991699
68160.000000 -155.766472 -1.037629
68352.000000 -152.775658 18.921476
68544.000000 -155.766472 37.842952
68736.000000 -150.761437 57.741020
68928.000000 -146.794031 74.709311
69120.000000 -137.821589 93.630787
69312.000000 -130.802332 110.599078
69504.000000 -118.839076 125.553148
69696.000000 -103.885006 136.478774
69888.000000 -81.911679 149.479659
70080.000000 -73.915830 156.437880
70272.000000 -51.942503 169.377728
70464.000000 -33.997620 180.364391
70656.000000 -18.005921 181.340983
70848.000000 0.000000 174.382763
71040.000000 16.968291 178.350169
71232.000000 40.894803 172.368542
71424.000000 55.909909 164.372692
71616.000000 79.836421 157.414472
71808.000000 89.846492 141.483810
72000.000000 108.767968 131.534776
72192.000000 124.759667 119.571520
72384.000000 132.755516 100.650044
72576.000000 147.709586 82.705161
72768.000000 153.752251 64.760277
72960.000000 155.705435 51.820429
73152.000000 160.710471 31.861324
73344.000000 161.687063 14.893033
73536.000000 161.687063 -13.000885
73728.000000 158.696249 -29.908139
73920.000000 149.723807 -47.853023
74112.000000 139.774773 -66.774499
74304.000000 125.797296 -81.728568
74496.000000 112.796411 -97.720267
74688.000000 100.833155 -106.692709
74880.000000 85.818049 -124.576556
75072.000000 64.882351 -128.604999
75264.000000 50.904874 -144.535661
75456.000000 37.903989 -141.544847
75648.000000 11.963256 -147.526475
75840.000000 -10.010071 -152.531510
76032.000000 -21.973327 -147.526475
76224.000000 -41.993469 -134.586627
76416.000000 -63.905759 -131.595813
76608.000000 -74.892422 -121.585742
