Time,Channel A
(ms),(V)

-0.00020800,-2.81991029
-0.00010400,-2.90017390
0.00000000,-2.82052064
0.00010400,-2.77977848
0.00020800,-2.77474284
0.00031200,-2.89513850
0.00041600,-2.77977848
0.00052000,-2.93145537
0.00062400,-2.85256505
0.00072800,-2.76909685
0.00083200,-2.67448950
0.00093600,-2.75276947
0.00104000,-2.69646287
0.00114400,-2.76665545
0.00124800,-2.80678725
0.00135200,-2.76406145
0.00145600,-2.85500646
0.00156000,-2.79427481
0.00166400,-2.77672648
0.00176800,-2.87377548
0.00187200,-2.87820053
0.00197600,-2.86004210
0.00208000,-2.77047038
0.00218400,-2.73033834
0.00228800,-2.89452791
0.00239200,-2.82372499
0.00249600,-2.79168057
0.00260000,-2.89895320
0.00270400,-2.88201547
0.00280800,-2.90704060
0.00291200,-2.94778275
0.00301600,-2.75780511
0.00312000,-2.86126280
0.00322400,-2.82113099
0.00332800,-2.85119176
0.00343200,-2.80678725
0.00353600,-2.82998133
0.00364000,-2.95907474
0.00374400,-2.76726580
0.00384800,-2.70775485
0.00395200,-2.72774434
0.00405600,-2.81243324
0.00416000,-2.89834285
0.00426400,-2.81548500
0.00436800,-2.67952514
0.00447200,-2.84066296
0.00457600,-2.84569836
0.00468000,-2.85439610
0.00478400,-2.66884375
0.00488800,-2.84630871
0.00499200,-2.73598433
0.00509600,-2.61619925
0.00520000,-2.78923917
0.00530400,-2.68074584
0.00540800,-2.60994291
0.00551200,-2.72652364
0.00561600,-2.70836520
0.00572000,-2.80358291
0.00582400,-2.81304359
0.00592800,-2.78923917
0.00603200,-2.74529243
0.00613600,-2.80419326
0.00624000,-2.83623767
0.00634400,-2.72591329
0.00644800,-2.76223040
0.00655200,-2.74910736
0.00665600,-2.76039910
0.00676000,-2.84432507
0.00686400,-2.73522139
0.00696800,-2.58980060
0.00707200,-2.71965694
0.00717600,-2.81182289
0.00728000,-2.71706295
0.00738400,-2.78237247
0.00748800,-2.74849701
0.00759200,-2.86248350
0.00769600,-2.71843624
0.00780000,-2.74025702
0.00790400,-2.71401095
0.00800800,-2.74590278
0.00811200,-2.63191628
0.00821600,-2.80861831
0.00832000,-2.78481388
0.00842400,-2.82433558
0.00852800,-2.70393991
0.00863200,-2.65312672
0.00873600,-2.75658441
0.00884000,-2.73400068
0.00894400,-2.84752941
0.00904800,-2.81868958
0.00915200,-2.56477547
0.00925600,-2.75658441
0.00936000,-2.69707322
0.00946400,-2.84569836
0.00956800,-2.87636948
0.00967200,-2.58552814
0.00977600,-2.85119176
0.00988000,-2.82876062
0.00998400,-2.83562732
0.01008800,-2.84997106
0.01019200,-2.80114150
0.01029600,-2.81548500
0.01040000,-2.80678725
0.01050400,-2.71706295
0.01060800,-2.70577097
0.01071200,-2.79366446
0.01081600,-2.75154877
0.01092000,-2.73461103
0.01102400,-2.59483624
0.01112800,-2.83364367
0.01123200,-2.67265844
0.01133600,-2.77794743
0.01144000,-2.71706295
0.01154400,-2.83745837
0.01164800,-2.65129542
0.01175200,-2.64946437
0.01185600,-2.81868958
0.01196000,-2.77291179
