Time,Channel A
(ms),(V)

-0.00020800,-1.63060391
-0.00010400,-1.59123504
0.00000000,-1.72841573
0.00010400,-1.45130777
0.00020800,-1.68263805
0.00031200,-1.57490766
0.00041600,-1.62068546
0.00052000,-1.47206032
0.00062400,-1.65013576
0.00072800,-1.77236247
0.00083200,-1.71346176
0.00093600,-1.47328103
0.00104000,-1.68828392
0.00114400,-1.59489727
0.00124800,-1.52851951
0.00135200,-1.70339060
0.00145600,-1.65379798
0.00156000,-1.75222027
0.00166400,-1.61183512
0.00176800,-1.43696404
0.00187200,-1.70339060
0.00197600,-1.61809134
0.00208000,-1.43375957
0.00218400,-1.68584251
0.00228800,-1.47648549
0.00239200,-1.63060391
0.00249600,-1.63441873
0.00260000,-1.54225290
0.00270400,-1.71224093
0.00280800,-1.66707361
0.00291200,-1.61564994
0.00301600,-1.80242312
0.00312000,-1.57734919
0.00322400,-1.59611809
0.00332800,-1.64448988
0.00343200,-1.63945436
0.00353600,-1.56605732
0.00364000,-1.75160980
0.00374400,-1.45573294
0.00384800,-1.71651351
0.00395200,-1.49204993
0.00405600,-1.70842612
0.00416000,-1.59123504
0.00426400,-1.71712399
0.00436800,-1.58925140
0.00447200,-1.74108100
0.00457600,-1.52409434
0.00468000,-1.72215950
0.00478400,-1.60054326
0.00488800,-1.66203797
0.00499200,-1.67210913
0.00509600,-1.66508985
0.00520000,-1.54484689
0.00530400,-1.64387953
0.00540800,-1.77678764
0.00551200,-1.87765133
0.00561600,-1.58619952
0.00572000,-1.63319802
0.00582400,-1.68080688
0.00592800,-1.68202770
0.00603200,-1.66203797
0.00613600,-1.64571059
0.00624000,-1.77861869
0.00634400,-1.68080688
0.00644800,-1.65822315
0.00655200,-1.53477585
0.00665600,-1.66890466
0.00676000,-1.64815211
0.00686400,-1.48899806
0.00696800,-1.72093880
0.00707200,-1.78609574
0.00717600,-1.67577136
0.00728000,-1.75222027
0.00738400,-1.57368696
0.00748800,-1.74916840
0.00759200,-1.64128542
0.00769600,-1.89458907
0.00780000,-1.61183512
0.00790400,-1.80623794
0.00800800,-1.56987214
0.00811200,-1.78991055
0.00821600,-1.69209874
0.00832000,-1.55171359
0.00842400,-1.75298321
0.00852800,-1.75725579
0.00863200,-1.89275801
0.00873600,-1.71147799
0.00884000,-1.67012548
0.00894400,-1.45695364
0.00904800,-1.68340099
0.00915200,-1.57551801
0.00925600,-1.79311502
0.00936000,-1.65318763
0.00946400,-1.80867946
0.00956800,-1.60817289
0.00967200,-1.52226329
0.00977600,-1.71346176
0.00988000,-1.76229131
0.00998400,-1.62755215
0.01008800,-1.66508985
0.01019200,-1.71712399
0.01029600,-1.73284101
0.01040000,-1.70781577
0.01050400,-1.82195497
0.01060800,-1.89336836
0.01071200,-1.65379798
0.01081600,-1.63701284
0.01092000,-1.69835508
0.01102400,-1.50898767
0.01112800,-1.62495804
0.01123200,-1.69896543
0.01133600,-1.56239510
0.01144000,-1.73543501
0.01154400,-1.67332983
0.01164800,-1.75038910
0.01175200,-1.54667807
0.01185600,-1.52470469
0.01196000,-1.54408395
