C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_1st_resonator.son DE_EMBEDDED Lk=10.0
FREQUENCY (GHz), DB[S21]-2D_1st_resonator
8.19258,-1.23966
8.19263,-1.23958
8.19268,-1.23948
8.19273,-1.23937
8.19278,-1.23924
8.19282,-1.2391
8.19287,-1.23895
8.19291,-1.23879
8.19295,-1.23862
8.193,-1.23844
8.19304,-1.23826
8.19308,-1.23806
8.19312,-1.23786
8.19316,-1.23765
8.19319,-1.23744
8.19323,-1.23722
8.19327,-1.237
8.1933,-1.23677
8.19334,-1.23654
8.19337,-1.23631
8.1934,-1.23607
8.19343,-1.23583
8.19346,-1.23559
8.19349,-1.23535
8.19352,-1.23511
8.19355,-1.23487
8.19358,-1.23463
8.19361,-1.23439
8.19364,-1.23415
8.19366,-1.2339
8.19369,-1.23366
8.19371,-1.23342
8.19374,-1.23318
8.19376,-1.23295
8.19379,-1.23271
8.19381,-1.23247
8.19383,-1.23224
8.19385,-1.23201
8.19388,-1.23178
8.1939,-1.23155
8.19392,-1.23133
8.19394,-1.23111
8.19396,-1.23088
8.19398,-1.23067
8.194,-1.23045
8.194,-1.2304
8.19401,-1.23024
8.19403,-1.23003
8.19405,-1.22982
8.19407,-1.22961
8.19408,-1.22941
8.1941,-1.22921
8.19412,-1.22901
8.19413,-1.22882
8.19415,-1.22863
8.19416,-1.22844
8.19418,-1.22825
8.19419,-1.22807
8.1942,-1.22789
8.19422,-1.22771
8.19423,-1.22754
8.19424,-1.22737
8.19426,-1.2272
8.19427,-1.22703
8.19428,-1.22687
8.19429,-1.22671
8.1943,-1.22655
8.19431,-1.22639
8.19433,-1.22624
8.19434,-1.22609
8.19435,-1.22594
8.19436,-1.2258
8.19437,-1.22566
8.19438,-1.22552
8.19439,-1.22538
8.1944,-1.22524
8.19441,-1.22511
8.19441,-1.22498
8.19442,-1.22486
8.19443,-1.22473
8.19444,-1.22461
8.19445,-1.22449
8.19446,-1.22437
8.19446,-1.22426
8.19447,-1.22414
8.19448,-1.22403
8.19449,-1.22392
8.19449,-1.22382
8.1945,-1.22371
8.19451,-1.22361
8.19451,-1.22351
8.19452,-1.22341
8.19453,-1.22331
8.19453,-1.22322
8.19454,-1.22313
8.19454,-1.22304
8.19455,-1.22295
8.19456,-1.22286
8.19456,-1.22277
8.19457,-1.22269
8.19457,-1.22261
8.19458,-1.22253
8.19458,-1.22245
8.19459,-1.22237
8.19459,-1.2223
8.1946,-1.22222
8.1946,-1.22216
8.1946,-1.22208
8.19461,-1.22201
8.19461,-1.22193
8.19462,-1.22185
8.19462,-1.22177
8.19463,-1.22169
8.19463,-1.22161
8.19464,-1.22152
8.19464,-1.22144
8.19465,-1.22134
8.19466,-1.22125
8.19466,-1.22116
8.19467,-1.22106
8.19467,-1.22096
8.19468,-1.22086
8.19469,-1.22075
8.19469,-1.22064
8.1947,-1.22053
8.19471,-1.22042
8.19471,-1.2203
8.19472,-1.22018
8.19473,-1.22006
8.19474,-1.21993
8.19474,-1.2198
8.19475,-1.21967
8.19476,-1.21953
8.19477,-1.21939
8.19478,-1.21925
8.19479,-1.2191
8.19479,-1.21895
8.1948,-1.21879
8.19481,-1.21863
8.19482,-1.21847
8.19483,-1.2183
8.19484,-1.21812
8.19485,-1.21794
8.19486,-1.21776
8.19487,-1.21757
8.19488,-1.21738
8.1949,-1.21718
8.19491,-1.21697
8.19492,-1.21676
8.19493,-1.21654
8.19494,-1.21632
8.19496,-1.21609
8.19497,-1.21586
8.19498,-1.21561
8.19499,-1.21536
8.19501,-1.21511
8.19502,-1.21484
8.19504,-1.21457
8.19505,-1.21429
8.19507,-1.21401
8.19508,-1.21371
8.1951,-1.21341
8.19511,-1.21309
8.19513,-1.21277
8.19515,-1.21244
8.19517,-1.2121
8.19518,-1.21175
8.1952,-1.21139
8.19522,-1.21101
8.19524,-1.21063
8.19526,-1.21023
8.19528,-1.20983
8.1953,-1.20941
8.19532,-1.20897
8.19534,-1.20853
8.19536,-1.20807
8.19539,-1.2076
8.19541,-1.20711
8.19543,-1.20661
8.19546,-1.20609
8.19548,-1.20556
8.19551,-1.20501
8.19553,-1.20444
8.19556,-1.20385
8.19558,-1.20325
8.19561,-1.20263
8.19564,-1.20198
8.19567,-1.20132
8.1957,-1.20064
8.19573,-1.19993
8.19576,-1.1992
8.19579,-1.19845
8.19582,-1.19768
8.19586,-1.19688
8.19589,-1.19605
8.19593,-1.1952
8.19596,-1.19432
8.196,-1.19341
8.196,-1.19337
8.19604,-1.19247
8.19607,-1.1915
8.19611,-1.19049
8.19615,-1.18946
8.19619,-1.18839
8.19624,-1.18728
8.19628,-1.18614
8.19632,-1.18496
8.19637,-1.18374
8.19641,-1.18248
8.19646,-1.18118
8.19651,-1.17984
8.19656,-1.17845
8.19661,-1.17701
8.19666,-1.17552
8.19671,-1.17399
8.19677,-1.1724
8.19682,-1.17076
8.19688,-1.16906
8.19694,-1.1673
8.197,-1.16549
8.19706,-1.16361
8.19712,-1.16167
8.19718,-1.15967
8.19725,-1.1576
8.19731,-1.15545
8.19738,-1.15323
8.19745,-1.15094
8.19752,-1.14857
8.1976,-1.14612
8.19767,-1.14359
8.19775,-1.14097
8.19783,-1.13826
8.19791,-1.13546
8.19799,-1.13257
8.198,-1.13223
8.19807,-1.12958
8.19816,-1.12649
8.19825,-1.1233
8.19834,-1.12001
8.19843,-1.1166
8.19852,-1.11308
8.19862,-1.10944
8.19872,-1.10569
8.19882,-1.10181
8.19892,-1.09781
8.19903,-1.09368
8.19914,-1.08942
8.19925,-1.08502
8.19936,-1.08049
8.19948,-1.07581
8.1996,-1.07099
8.19972,-1.06602
8.19984,-1.0609
8.19997,-1.05562
8.2,-1.05445
8.2001,-1.05019
8.20024,-1.04459
8.20037,-1.03884
8.20051,-1.03292
8.20066,-1.02683
8.2008,-1.02057
8.20095,-1.01414
8.20111,-1.00753
8.20126,-1.00075
8.20142,-0.993794
8.20159,-0.986658
8.20176,-0.979344
8.20193,-0.97185
8.202,-0.968749
8.20211,-0.964178
8.20229,-0.956326
8.20247,-0.948295
8.20266,-0.940087
8.20285,-0.931704
8.20305,-0.923146
8.20325,-0.914416
8.20346,-0.905517
8.20367,-0.896453
8.20389,-0.887227
8.204,-0.882614
8.20411,-0.877843
8.20434,-0.868306
8.20457,-0.858622
8.20481,-0.848796
8.20506,-0.838835
8.20531,-0.828745
8.20556,-0.818535
8.20582,-0.808211
8.206,-0.801308
8.20609,-0.797782
8.20636,-0.787258
8.20665,-0.776647
8.20693,-0.765959
8.20723,-0.755204
8.20753,-0.744392
8.20783,-0.733535
8.208,-0.727776
8.20815,-0.722642
8.20847,-0.711726
8.2088,-0.700798
8.20914,-0.68987
8.20948,-0.678952
8.20984,-0.668058
8.21,-0.663158
8.2102,-0.657197
8.21057,-0.646384
8.21095,-0.635628
8.21134,-0.624941
8.21173,-0.614335
8.212,-0.607417
8.21214,-0.60382
8.21256,-0.593407
8.21298,-0.583107
8.21342,-0.57293
8.21386,-0.562884
8.214,-0.55988
8.21432,-0.55298
8.21479,-0.543226
8.21526,-0.533629
8.21575,-0.524199
8.216,-0.519595
8.21625,-0.514941
8.21677,-0.505862
8.21729,-0.496968
8.21783,-0.488265
8.218,-0.485553
8.21838,-0.479757
8.21894,-0.471448
8.21951,-0.463342
8.22,-0.456797
8.2201,-0.455441
8.22071,-0.447749
8.22132,-0.440267
8.22195,-0.432996
8.222,-0.432477
8.2226,-0.425938
8.22326,-0.419091
8.22394,-0.412457
8.224,-0.411862
8.22463,-0.406034
8.22534,-0.399821
8.226,-0.394334
8.22606,-0.393817
8.22681,-0.38802
8.22757,-0.382427
8.228,-0.379381
8.22834,-0.377037
8.22914,-0.371845
8.22995,-0.366848
8.23,-0.366577
8.23079,-0.362044
8.23164,-0.357429
8.232,-0.355573
8.23251,-0.352998
8.23341,-0.348748
8.234,-0.34608
8.23432,-0.344674
8.23526,-0.340772
8.236,-0.33786
8.23622,-0.337037
8.2372,-0.333466
8.238,-0.330717
8.2382,-0.330053
8.23923,-0.326794
8.24,-0.324488
8.24028,-0.323685
8.24135,-0.320719
8.242,-0.319037
8.24246,-0.317893
8.24358,-0.315203
8.244,-0.314253
8.24474,-0.312642
8.24592,-0.310208
8.246,-0.31004
8.24712,-0.307894
8.248,-0.30632
8.24836,-0.305697
8.24963,-0.303613
8.25,-0.303025
8.25092,-0.301636
8.252,-0.300099
8.25225,-0.299763
8.2536,-0.297989
8.254,-0.297494
8.25499,-0.29631
8.256,-0.295169
8.25641,-0.294723
8.25786,-0.293223
8.258,-0.293089
8.25935,-0.291806
8.26,-0.291225
8.26088,-0.290469
8.262,-0.289549
8.26243,-0.289208
8.264,-0.288041
8.26403,-0.28802
8.26566,-0.2869
8.266,-0.28668
8.26733,-0.285847
8.268,-0.285451
8.26904,-0.284856
8.27,-0.284338
8.27079,-0.283925
8.272,-0.283328
8.27259,-0.28305
8.274,-0.28241
8.27442,-0.282229
8.276,-0.281575
8.2763,-0.281458
8.278,-0.280814
8.27822,-0.280736
8.28,-0.280119
8.28018,-0.280059
8.282,-0.279484
8.28219,-0.279426
8.284,-0.278902
8.28425,-0.278833
8.286,-0.278369
8.28636,-0.278278
8.288,-0.277879
8.28851,-0.277759
8.29,-0.277428
8.29072,-0.277274
8.292,-0.277013
8.29298,-0.276821
8.294,-0.27663
8.29529,-0.276398
8.296,-0.276276
8.29766,-0.276003
8.298,-0.275949
8.3,-0.275646
8.30008,-0.275634
8.302,-0.275364
8.30256,-0.27529
8.304,-0.275103
8.30509,-0.274968
8.306,-0.27486
8.30769,-0.274667
8.308,-0.274633
8.31,-0.274421
8.31035,-0.274386
8.312,-0.274223
8.31306,-0.274123
8.314,-0.274038
8.31585,-0.273876
8.316,-0.273863
8.318,-0.2737
8.3187,-0.273645
8.32,-0.273546
8.32161,-0.273428
8.322,-0.2734
8.324,-0.273263
8.32459,-0.273224
8.326,-0.273133
8.32765,-0.273031
8.328,-0.27301
8.33,-0.272892
8.33077,-0.272849
8.332,-0.272781
8.33397,-0.272676
8.334,-0.272674
8.336,-0.272572
8.33724,-0.272511
8.338,-0.272474
8.34,-0.27238
8.34059,-0.272353
8.342,-0.27229
8.344,-0.272203
8.34402,-0.272202
8.346,-0.272118
8.34753,-0.272056
8.348,-0.272037
8.35,-0.271957
8.35112,-0.271914
8.352,-0.27188
8.354,-0.271805
8.35479,-0.271776
8.356,-0.271732
8.358,-0.27166
8.35855,-0.271641
8.36,-0.27159
8.362,-0.271521
8.3624,-0.271508
8.364,-0.271454
8.366,-0.271387
8.36634,-0.271375
8.368,-0.271321
8.37,-0.271256
8.37038,-0.271244
8.372,-0.271192
8.374,-0.271128
8.3745,-0.271112
8.376,-0.271065
8.378,-0.271002
8.37873,-0.270979
8.38,-0.270939
8.382,-0.270877
8.38305,-0.270845
8.384,-0.270815
8.386,-0.270753
8.38747,-0.270708
8.392,-0.270568
8.394,-0.270507
8.396,-0.270445
8.398,-0.270383
8.4,-0.270321
8.402,-0.270259
8.404,-0.270197
8.406,-0.270134
8.408,-0.270071
8.41,-0.270008
8.412,-0.269945
8.414,-0.269881
8.416,-0.269817
8.418,-0.269752
8.42,-0.269688
8.422,-0.269623
8.424,-0.269557
8.426,-0.269491
8.428,-0.269425
8.43,-0.269358
8.432,-0.269291
8.434,-0.269223
8.436,-0.269155
8.438,-0.269086
8.44,-0.269017
8.442,-0.268948
8.444,-0.268878
8.446,-0.268807
8.448,-0.268736
8.45,-0.268665
8.452,-0.268593
8.454,-0.268521
8.456,-0.268448
8.458,-0.268375
8.46,-0.268301
8.462,-0.268227
8.464,-0.268152
8.466,-0.268077
8.468,-0.268001
8.47,-0.267925
8.472,-0.267848
8.474,-0.267771
8.476,-0.267693
8.478,-0.267615
8.48,-0.267537
8.482,-0.267458
8.484,-0.267378
8.486,-0.267298
8.488,-0.267218
8.49,-0.267137
8.492,-0.267056
8.494,-0.266974
8.496,-0.266891
8.498,-0.266809
8.5,-0.266725
C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_1st_resonator.son DE_EMBEDDED Lk=11.0
FREQUENCY (GHz), DB[S21]-2D_1st_resonator
6.5,-0.340531
6.502,-0.340532
6.504,-0.340533
6.506,-0.340534
6.508,-0.340535
6.51,-0.340535
6.512,-0.340536
6.514,-0.340536
6.516,-0.340537
6.518,-0.340537
6.52,-0.340537
6.522,-0.340537
6.524,-0.340536
6.526,-0.340536
6.528,-0.340535
6.53,-0.340535
6.532,-0.340534
6.534,-0.340533
6.536,-0.340532
6.538,-0.34053
6.54,-0.340529
6.542,-0.340527
6.544,-0.340526
6.546,-0.340524
6.548,-0.340522
6.55,-0.34052
6.552,-0.340518
6.554,-0.340515
6.556,-0.340513
6.558,-0.34051
6.56,-0.340508
6.562,-0.340505
6.564,-0.340502
6.566,-0.340499
6.568,-0.340495
6.57,-0.340492
6.572,-0.340488
6.574,-0.340485
6.576,-0.340481
6.578,-0.340477
6.58,-0.340473
6.582,-0.340468
6.584,-0.340464
6.586,-0.340459
6.588,-0.340455
6.59,-0.34045
6.592,-0.340445
6.594,-0.34044
6.596,-0.340435
6.598,-0.340429
6.6,-0.340424
6.602,-0.340418
6.604,-0.340413
6.606,-0.340407
6.608,-0.340401
6.61,-0.340395
6.612,-0.340388
6.614,-0.340382
6.616,-0.340375
6.618,-0.340369
6.62,-0.340362
6.622,-0.340355
6.624,-0.340348
6.626,-0.34034
6.628,-0.340333
6.63,-0.340326
6.632,-0.340318
6.634,-0.34031
6.636,-0.340302
6.638,-0.340294
6.64,-0.340286
6.642,-0.340278
6.644,-0.340269
6.646,-0.340261
6.648,-0.340252
6.65,-0.340243
6.652,-0.340234
6.654,-0.340225
6.656,-0.340216
6.658,-0.340206
6.66,-0.340197
6.662,-0.340187
6.664,-0.340177
6.666,-0.340167
6.668,-0.340157
6.67,-0.340147
6.672,-0.340137
6.674,-0.340126
6.676,-0.340115
6.678,-0.340105
6.68,-0.340094
6.682,-0.340083
6.684,-0.340072
6.686,-0.34006
6.688,-0.340049
6.69,-0.340037
6.692,-0.340026
6.694,-0.340014
6.696,-0.340002
6.698,-0.33999
6.7,-0.339977
6.702,-0.339965
6.704,-0.339953
6.706,-0.33994
6.708,-0.339927
6.71,-0.339914
6.712,-0.339901
6.714,-0.339888
6.716,-0.339875
6.718,-0.339861
6.72,-0.339848
6.722,-0.339834
6.724,-0.33982
6.726,-0.339806
6.728,-0.339792
6.73,-0.339778
6.732,-0.339763
6.734,-0.339749
6.736,-0.339734
6.738,-0.339719
6.74,-0.339704
6.742,-0.339689
6.744,-0.339674
6.746,-0.339659
6.748,-0.339643
6.75,-0.339628
6.752,-0.339612
6.754,-0.339596
6.756,-0.33958
6.758,-0.339564
6.76,-0.339548
6.762,-0.339532
6.764,-0.339515
6.766,-0.339498
6.768,-0.339482
6.77,-0.339465
6.772,-0.339448
6.774,-0.33943
6.776,-0.339413
6.778,-0.339396
6.78,-0.339378
6.782,-0.33936
6.784,-0.339343
6.786,-0.339325
6.788,-0.339306
6.79,-0.339288
6.792,-0.33927
6.794,-0.339251
6.796,-0.339233
6.798,-0.339214
6.8,-0.339195
6.802,-0.339176
6.804,-0.339157
6.806,-0.339138
6.808,-0.339118
6.81,-0.339099
6.812,-0.339079
6.814,-0.339059
6.816,-0.339039
6.818,-0.339019
6.82,-0.338999
6.822,-0.338978
6.824,-0.338958
6.826,-0.338937
6.828,-0.338917
6.83,-0.338896
6.832,-0.338875
6.834,-0.338854
6.836,-0.338832
6.838,-0.338811
6.84,-0.338789
6.842,-0.338768
6.844,-0.338746
6.846,-0.338724
6.848,-0.338702
6.85,-0.33868
6.852,-0.338658
6.854,-0.338635
6.856,-0.338613
6.858,-0.33859
6.86,-0.338567
6.862,-0.338544
6.864,-0.338521
6.866,-0.338498
6.868,-0.338475
6.87,-0.338451
6.872,-0.338428
6.874,-0.338404
6.876,-0.33838
6.878,-0.338356
6.88,-0.338332
6.882,-0.338308
6.884,-0.338283
6.886,-0.338259
6.888,-0.338234
6.89,-0.338209
6.892,-0.338185
6.894,-0.33816
6.896,-0.338134
6.898,-0.338109
6.9,-0.338084
6.902,-0.338058
6.904,-0.338033
6.906,-0.338007
6.908,-0.337981
6.91,-0.337955
6.912,-0.337929
6.914,-0.337903
6.916,-0.337876
6.918,-0.33785
6.92,-0.337823
6.922,-0.337796
6.924,-0.337769
6.926,-0.337742
6.928,-0.337715
6.93,-0.337688
6.932,-0.33766
6.934,-0.337633
6.936,-0.337605
6.938,-0.337577
6.94,-0.337549
6.942,-0.337521
6.944,-0.337493
6.946,-0.337465
6.948,-0.337437
6.95,-0.337408
6.952,-0.337379
6.954,-0.337351
6.956,-0.337322
6.958,-0.337293
6.96,-0.337263
6.962,-0.337234
6.964,-0.337205
6.966,-0.337175
6.968,-0.337146
6.97,-0.337116
6.972,-0.337086
6.974,-0.337056
6.976,-0.337026
6.978,-0.336996
6.98,-0.336965
6.982,-0.336935
6.984,-0.336904
6.986,-0.336873
6.988,-0.336842
6.99,-0.336811
6.992,-0.33678
6.994,-0.336749
6.996,-0.336718
6.998,-0.336686
7,-0.336655
7.002,-0.336623
7.004,-0.336591
7.006,-0.336559
7.008,-0.336527
7.01,-0.336495
7.012,-0.336462
7.014,-0.33643
7.016,-0.336397
7.018,-0.336365
7.02,-0.336332
7.022,-0.336299
7.024,-0.336266
7.026,-0.336233
7.028,-0.336199
7.03,-0.336166
7.032,-0.336132
7.034,-0.336099
7.036,-0.336065
7.038,-0.336031
7.04,-0.335997
7.042,-0.335963
7.044,-0.335929
7.046,-0.335894
7.048,-0.33586
7.05,-0.335825
7.052,-0.335791
7.054,-0.335756
7.056,-0.335721
7.058,-0.335686
7.06,-0.335651
7.062,-0.335615
7.064,-0.33558
7.066,-0.335545
7.068,-0.335509
7.07,-0.335473
7.072,-0.335437
7.074,-0.335401
7.076,-0.335365
7.078,-0.335329
7.08,-0.335293
7.082,-0.335256
7.084,-0.33522
7.086,-0.335183
7.088,-0.335146
7.09,-0.335109
7.092,-0.335072
7.094,-0.335035
7.096,-0.334998
7.098,-0.334961
7.1,-0.334923
7.102,-0.334886
7.104,-0.334848
7.106,-0.33481
7.108,-0.334772
7.11,-0.334734
7.112,-0.334696
7.114,-0.334658
7.116,-0.33462
7.118,-0.334581
7.12,-0.334543
7.122,-0.334504
7.124,-0.334465
7.126,-0.334427
7.128,-0.334388
7.13,-0.334348
7.132,-0.334309
7.134,-0.33427
7.136,-0.334231
7.138,-0.334191
7.14,-0.334151
7.142,-0.334112
7.144,-0.334072
7.146,-0.334032
7.148,-0.333992
7.15,-0.333952
7.152,-0.333911
7.154,-0.333871
7.156,-0.333831
7.158,-0.33379
7.16,-0.333749
7.162,-0.333708
7.164,-0.333668
7.166,-0.333627
7.168,-0.333585
7.17,-0.333544
7.172,-0.333503
7.174,-0.333462
7.176,-0.33342
7.178,-0.333378
7.18,-0.333337
7.182,-0.333295
7.184,-0.333253
7.186,-0.333211
7.188,-0.333169
7.19,-0.333127
7.192,-0.333084
7.194,-0.333042
7.196,-0.332999
7.198,-0.332957
7.2,-0.332914
7.202,-0.332871
7.204,-0.332828
7.206,-0.332785
7.208,-0.332742
7.21,-0.332699
7.212,-0.332656
7.214,-0.332612
7.216,-0.332569
7.218,-0.332525
7.22,-0.332482
7.222,-0.332438
7.224,-0.332394
7.226,-0.33235
7.228,-0.332306
7.23,-0.332262
7.232,-0.332218
7.234,-0.332173
7.236,-0.332129
7.238,-0.332084
7.24,-0.33204
7.242,-0.331995
7.244,-0.33195
7.246,-0.331905
7.248,-0.33186
7.25,-0.331815
7.252,-0.33177
7.254,-0.331725
7.256,-0.33168
7.258,-0.331634
7.26,-0.331589
7.262,-0.331543
7.264,-0.331497
7.266,-0.331452
7.268,-0.331406
7.27,-0.33136
7.272,-0.331314
7.274,-0.331268
7.276,-0.331222
7.278,-0.331175
7.28,-0.331129
7.282,-0.331083
7.284,-0.331036
7.286,-0.33099
7.288,-0.330943
7.29,-0.330896
7.292,-0.330849
7.294,-0.330802
7.296,-0.330755
7.298,-0.330708
7.3,-0.330661
7.302,-0.330614
7.304,-0.330567
7.306,-0.330519
7.308,-0.330472
7.31,-0.330424
7.312,-0.330377
7.314,-0.330329
7.316,-0.330281
7.318,-0.330234
7.32,-0.330186
7.322,-0.330138
7.324,-0.33009
7.326,-0.330042
7.328,-0.329993
7.33,-0.329945
7.332,-0.329897
7.334,-0.329849
7.336,-0.3298
7.338,-0.329752
7.34,-0.329703
7.342,-0.329654
7.344,-0.329606
7.346,-0.329557
7.348,-0.329508
7.35,-0.329459
7.352,-0.32941
7.354,-0.329361
7.356,-0.329312
7.358,-0.329263
7.36,-0.329214
7.362,-0.329164
7.364,-0.329115
7.366,-0.329066
7.368,-0.329016
7.37,-0.328967
7.372,-0.328917
7.374,-0.328868
7.376,-0.328818
7.378,-0.328768
7.38,-0.328719
7.382,-0.328669
7.384,-0.328619
7.386,-0.328569
7.388,-0.328519
7.39,-0.328469
7.392,-0.328419
7.394,-0.328369
7.396,-0.328319
7.398,-0.328268
7.4,-0.328218
7.402,-0.328168
7.404,-0.328117
7.406,-0.328067
7.408,-0.328017
7.41,-0.327966
7.412,-0.327916
7.414,-0.327865
7.416,-0.327815
7.418,-0.327764
7.42,-0.327713
7.422,-0.327663
7.424,-0.327612
7.426,-0.327561
7.428,-0.32751
7.43,-0.32746
7.432,-0.327409
7.434,-0.327358
7.436,-0.327307
7.438,-0.327256
7.44,-0.327205
7.442,-0.327154
7.444,-0.327103
7.446,-0.327052
7.448,-0.327001
7.45,-0.32695
7.452,-0.326899
7.454,-0.326848
7.456,-0.326797
7.458,-0.326745
7.46,-0.326694
7.462,-0.326643
7.464,-0.326592
7.466,-0.326541
7.468,-0.32649
7.47,-0.326438
7.472,-0.326387
7.474,-0.326336
7.476,-0.326285
7.478,-0.326233
7.48,-0.326182
7.482,-0.326131
7.484,-0.32608
7.486,-0.326029
7.488,-0.325977
7.49,-0.325926
7.492,-0.325875
7.494,-0.325824
7.496,-0.325772
7.498,-0.325721
7.5,-0.32567
7.502,-0.325619
7.504,-0.325568
7.506,-0.325517
7.508,-0.325465
7.51,-0.325414
7.512,-0.325363
7.514,-0.325312
7.516,-0.325261
7.518,-0.32521
7.52,-0.325159
7.522,-0.325108
7.524,-0.325057
7.526,-0.325006
7.528,-0.324956
7.53,-0.324905
7.532,-0.324854
7.534,-0.324803
7.536,-0.324753
7.538,-0.324702
7.54,-0.324651
7.542,-0.324601
7.544,-0.32455
7.546,-0.3245
7.548,-0.324449
7.55,-0.324399
7.552,-0.324349
7.554,-0.324298
7.556,-0.324248
7.558,-0.324198
7.56,-0.324148
7.562,-0.324098
7.564,-0.324048
7.566,-0.323999
7.568,-0.323949
7.57,-0.323899
7.572,-0.32385
7.574,-0.3238
7.576,-0.323751
7.578,-0.323701
7.58,-0.323652
7.582,-0.323603
7.584,-0.323554
7.586,-0.323505
7.588,-0.323456
7.59,-0.323407
7.592,-0.323359
7.594,-0.32331
7.596,-0.323262
7.598,-0.323214
7.6,-0.323166
7.602,-0.323117
7.604,-0.32307
7.606,-0.323022
7.608,-0.322974
7.61,-0.322927
7.612,-0.322879
7.614,-0.322832
7.616,-0.322785
7.618,-0.322738
7.62,-0.322691
7.622,-0.322645
7.624,-0.322598
7.626,-0.322552
7.628,-0.322506
7.63,-0.32246
7.632,-0.322414
7.634,-0.322368
7.636,-0.322323
7.638,-0.322277
7.64,-0.322232
7.642,-0.322188
7.644,-0.322143
7.646,-0.322098
7.648,-0.322054
7.65,-0.32201
7.652,-0.321966
7.654,-0.321923
7.656,-0.321879
7.658,-0.321836
7.66,-0.321793
7.662,-0.321751
7.664,-0.321708
7.666,-0.321666
7.668,-0.321624
7.67,-0.321582
7.672,-0.321541
7.674,-0.3215
7.676,-0.321459
7.678,-0.321419
7.68,-0.321378
7.682,-0.321338
7.684,-0.321299
7.686,-0.321259
7.688,-0.32122
7.69,-0.321182
7.692,-0.321143
7.694,-0.321105
7.696,-0.321068
7.698,-0.32103
7.7,-0.320993
7.702,-0.320957
7.704,-0.32092
7.706,-0.320885
7.708,-0.320849
7.71,-0.320814
7.712,-0.320779
7.714,-0.320745
7.716,-0.320711
7.718,-0.320678
7.72,-0.320645
7.722,-0.320612
7.724,-0.32058
7.726,-0.320548
7.728,-0.320517
7.73,-0.320486
7.732,-0.320456
7.734,-0.320427
7.736,-0.320397
7.738,-0.320369
7.74,-0.320341
7.742,-0.320313
7.744,-0.320286
7.746,-0.32026
7.748,-0.320234
7.75,-0.320208
7.752,-0.320184
7.754,-0.32016
7.756,-0.320136
7.758,-0.320113
7.76,-0.320091
7.762,-0.32007
7.764,-0.320049
7.766,-0.320029
7.768,-0.320009
7.77,-0.319991
7.772,-0.319973
7.774,-0.319956
7.776,-0.319939
7.778,-0.319924
7.78,-0.319909
7.782,-0.319895
7.784,-0.319882
7.786,-0.319869
7.788,-0.319858
7.79,-0.319848
7.792,-0.319838
7.794,-0.319829
7.796,-0.319822
7.798,-0.319815
7.8,-0.319809
7.802,-0.319804
7.804,-0.319801
7.806,-0.319798
7.808,-0.319797
7.81,-0.319796
7.812,-0.319797
7.814,-0.319799
7.816,-0.319802
7.818,-0.319806
7.82,-0.319812
7.822,-0.319819
7.824,-0.319827
7.826,-0.319836
7.828,-0.319847
7.83,-0.319859
7.832,-0.319873
7.834,-0.319888
7.836,-0.319905
7.838,-0.319923
7.84,-0.319942
7.842,-0.319964
7.844,-0.319987
7.846,-0.320011
7.848,-0.320038
7.85,-0.320066
7.852,-0.320096
7.854,-0.320128
7.856,-0.320162
7.858,-0.320197
7.86,-0.320235
7.862,-0.320275
7.864,-0.320317
7.866,-0.320361
7.868,-0.320407
7.87,-0.320455
7.872,-0.320506
7.874,-0.32056
7.876,-0.320615
7.878,-0.320674
7.88,-0.320734
7.882,-0.320798
7.884,-0.320864
7.886,-0.320933
7.888,-0.321005
7.89,-0.32108
7.892,-0.321158
7.894,-0.321239
7.896,-0.321324
7.898,-0.321412
7.9,-0.321503
7.902,-0.321597
7.904,-0.321696
7.906,-0.321798
7.908,-0.321904
7.91,-0.322014
7.912,-0.322128
7.914,-0.322246
7.916,-0.322369
7.918,-0.322496
7.92,-0.322627
7.922,-0.322764
7.924,-0.322905
7.926,-0.323051
7.928,-0.323203
7.93,-0.32336
7.932,-0.323523
7.934,-0.323692
7.936,-0.323866
7.938,-0.324047
7.94,-0.324234
7.942,-0.324428
7.944,-0.324628
7.946,-0.324836
7.948,-0.325051
7.95,-0.325274
7.952,-0.325504
7.95248,-0.325561
7.954,-0.325743
7.956,-0.32599
7.95686,-0.3261
7.958,-0.326246
7.96,-0.326512
7.96114,-0.326667
7.962,-0.326786
7.964,-0.327071
7.96532,-0.327265
7.966,-0.327366
7.968,-0.327672
7.96941,-0.327894
7.97,-0.327989
7.972,-0.328317
7.9734,-0.328554
7.974,-0.328657
7.976,-0.32901
7.9773,-0.329248
7.978,-0.329377
7.98,-0.329756
7.98111,-0.329974
7.982,-0.33015
7.984,-0.330559
7.98484,-0.330736
7.986,-0.330984
7.988,-0.331425
7.98848,-0.331532
7.99,-0.331882
7.992,-0.332358
7.99203,-0.332366
7.994,-0.332852
7.99551,-0.333237
7.996,-0.333366
7.998,-0.3339
7.9989,-0.334147
8,-0.334455
8.002,-0.335033
8.00222,-0.335098
8.004,-0.335635
8.00546,-0.336089
8.006,-0.336261
8.008,-0.336914
8.00862,-0.337123
8.01,-0.337594
8.01172,-0.338202
8.012,-0.338303
8.014,-0.339043
8.01474,-0.339325
8.016,-0.339815
8.01769,-0.340495
8.018,-0.340621
8.02,-0.341463
8.02058,-0.341714
