C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_1st_resonator.son DE_EMBEDDED Lk=10.0
FREQUENCY (GHz), DB[S21]-2D_1st_resonator
7.12,-0.3766
7.122,-0.376564
7.124,-0.376528
7.126,-0.376491
7.128,-0.376455
7.13,-0.376418
7.132,-0.376382
7.134,-0.376345
7.136,-0.376308
7.138,-0.376271
7.14,-0.376234
7.142,-0.376196
7.144,-0.376159
7.146,-0.376121
7.148,-0.376083
7.15,-0.376045
7.152,-0.376007
7.154,-0.375969
7.156,-0.375931
7.158,-0.375892
7.16,-0.375854
7.162,-0.375815
7.164,-0.375776
7.166,-0.375737
7.168,-0.375698
7.17,-0.375659
7.172,-0.375619
7.174,-0.37558
7.176,-0.37554
7.178,-0.3755
7.18,-0.37546
7.182,-0.37542
7.184,-0.37538
7.186,-0.375339
7.188,-0.375299
7.19,-0.375258
7.192,-0.375218
7.194,-0.375177
7.196,-0.375136
7.198,-0.375094
7.2,-0.375053
7.202,-0.375012
7.204,-0.37497
7.206,-0.374928
7.208,-0.374887
7.21,-0.374845
7.212,-0.374803
7.214,-0.37476
7.216,-0.374718
7.218,-0.374676
7.22,-0.374633
7.222,-0.37459
7.224,-0.374547
7.226,-0.374504
7.228,-0.374461
7.23,-0.374418
7.232,-0.374374
7.234,-0.374331
7.236,-0.374287
7.238,-0.374243
7.24,-0.3742
7.242,-0.374156
7.244,-0.374111
7.246,-0.374067
7.248,-0.374023
7.25,-0.373978
7.252,-0.373933
7.254,-0.373888
7.256,-0.373844
7.258,-0.373798
7.26,-0.373753
7.262,-0.373708
7.264,-0.373662
7.266,-0.373617
7.268,-0.373571
7.27,-0.373525
7.272,-0.373479
7.274,-0.373433
7.276,-0.373387
7.278,-0.373341
7.28,-0.373294
7.282,-0.373247
7.284,-0.373201
7.286,-0.373154
7.288,-0.373107
7.29,-0.37306
7.292,-0.373013
7.294,-0.372965
7.296,-0.372918
7.298,-0.37287
7.3,-0.372822
