# Frequenza (Hz)	S11 (dB)
4.000000e+09	-8.189296e-01
4.000120e+09	-8.168832e-01
4.000240e+09	-8.138339e-01
4.000360e+09	-8.136717e-01
4.000480e+09	-8.106076e-01
4.000601e+09	-8.107359e-01
4.000721e+09	-8.094682e-01
4.000841e+09	-8.098959e-01
4.000961e+09	-8.104712e-01
4.001081e+09	-8.092600e-01
4.001201e+09	-8.094265e-01
4.001321e+09	-8.101598e-01
4.001441e+09	-8.099119e-01
4.001562e+09	-8.086636e-01
4.001682e+09	-8.113102e-01
4.001802e+09	-8.117406e-01
4.001922e+09	-8.126043e-01
4.002042e+09	-8.127784e-01
4.002162e+09	-8.113019e-01
4.002282e+09	-8.113377e-01
4.002402e+09	-8.123948e-01
4.002523e+09	-8.125033e-01
4.002643e+09	-8.139684e-01
4.002763e+09	-8.142345e-01
4.002883e+09	-8.143789e-01
4.003003e+09	-8.134521e-01
4.003123e+09	-8.126987e-01
4.003243e+09	-8.130049e-01
4.003363e+09	-8.162959e-01
4.003483e+09	-8.169055e-01
4.003604e+09	-8.191565e-01
4.003724e+09	-8.169630e-01
4.003844e+09	-8.173560e-01
4.003964e+09	-8.191566e-01
4.004084e+09	-8.184214e-01
4.004204e+09	-8.163101e-01
4.004324e+09	-8.166067e-01
4.004444e+09	-8.184495e-01
4.004565e+09	-8.178521e-01
4.004685e+09	-8.189944e-01
4.004805e+09	-8.195118e-01
4.004925e+09	-8.191719e-01
4.005045e+09	-8.203303e-01
4.005165e+09	-8.190763e-01
4.005285e+09	-8.224823e-01
4.005405e+09	-8.241663e-01
4.005526e+09	-8.217702e-01
4.005646e+09	-8.222351e-01
4.005766e+09	-8.214958e-01
4.005886e+09	-8.216867e-01
4.006006e+09	-8.219578e-01
4.006126e+09	-8.230911e-01
4.006246e+09	-8.240541e-01
4.006366e+09	-8.218101e-01
4.006486e+09	-8.222335e-01
4.006607e+09	-8.252797e-01
4.006727e+09	-8.228358e-01
4.006847e+09	-8.237679e-01
4.006967e+09	-8.243332e-01
4.007087e+09	-8.253110e-01
4.007207e+09	-8.282187e-01
4.007327e+09	-8.256946e-01
4.007447e+09	-8.264265e-01
4.007568e+09	-8.267665e-01
4.007688e+09	-8.274318e-01
4.007808e+09	-8.280466e-01
4.007928e+09	-8.272605e-01
4.008048e+09	-8.264470e-01
4.008168e+09	-8.261880e-01
4.008288e+09	-8.284025e-01
4.008408e+09	-8.291699e-01
4.008529e+09	-8.264200e-01
4.008649e+09	-8.282189e-01
4.008769e+09	-8.269218e-01
4.008889e+09	-8.280483e-01
4.009009e+09	-8.299710e-01
4.009129e+09	-8.283858e-01
4.009249e+09	-8.306391e-01
4.009369e+09	-8.290611e-01
4.009489e+09	-8.290774e-01
4.009610e+09	-8.307068e-01
4.009730e+09	-8.314761e-01
4.009850e+09	-8.323091e-01
4.009970e+09	-8.344532e-01
4.010090e+09	-8.304699e-01
4.010210e+09	-8.353507e-01
4.010330e+09	-8.335065e-01
4.010450e+09	-8.317058e-01
4.010571e+09	-8.303589e-01
4.010691e+09	-8.326199e-01
4.010811e+09	-8.327852e-01
4.010931e+09	-8.316585e-01
4.011051e+09	-8.323596e-01
4.011171e+09	-8.338938e-01
4.011291e+09	-8.320542e-01
4.011411e+09	-8.313544e-01
4.011532e+09	-8.346548e-01
4.011652e+09	-8.334847e-01
4.011772e+09	-8.376574e-01
4.011892e+09	-8.343116e-01
4.012012e+09	-8.339316e-01
4.012132e+09	-8.363037e-01
4.012252e+09	-8.347732e-01
4.012372e+09	-8.400684e-01
4.012492e+09	-8.354164e-01
4.012613e+09	-8.357869e-01
4.012733e+09	-8.356006e-01
4.012853e+09	-8.382684e-01
4.012973e+09	-8.402504e-01
4.013093e+09	-8.398727e-01
4.013213e+09	-8.374064e-01
4.013333e+09	-8.389124e-01
4.013453e+09	-8.388098e-01
4.013574e+09	-8.412575e-01
4.013694e+09	-8.411656e-01
4.013814e+09	-8.419392e-01
4.013934e+09	-8.415747e-01
4.014054e+09	-8.426214e-01
4.014174e+09	-8.395206e-01
4.014294e+09	-8.405244e-01
4.014414e+09	-8.410112e-01
4.014535e+09	-8.452285e-01
4.014655e+09	-8.401777e-01
4.014775e+09	-8.418113e-01
4.014895e+09	-8.422136e-01
4.015015e+09	-8.423027e-01
4.015135e+09	-8.450164e-01
4.015255e+09	-8.443953e-01
4.015375e+09	-8.397946e-01
4.015495e+09	-8.445038e-01
4.015616e+09	-8.422261e-01
4.015736e+09	-8.454256e-01
4.015856e+09	-8.430653e-01
4.015976e+09	-8.474364e-01
4.016096e+09	-8.442430e-01
4.016216e+09	-8.417808e-01
4.016336e+09	-8.422836e-01
4.016456e+09	-8.452440e-01
4.016577e+09	-8.468598e-01
4.016697e+09	-8.410638e-01
4.016817e+09	-8.444589e-01
4.016937e+09	-8.451692e-01
4.017057e+09	-8.459007e-01
4.017177e+09	-8.461483e-01
4.017297e+09	-8.472205e-01
4.017417e+09	-8.461095e-01
4.017538e+09	-8.449898e-01
4.017658e+09	-8.496279e-01
4.017778e+09	-8.453488e-01
4.017898e+09	-8.477686e-01
4.018018e+09	-8.445712e-01
4.018138e+09	-8.438080e-01
4.018258e+09	-8.510791e-01
4.018378e+09	-8.502524e-01
4.018498e+09	-8.452494e-01
4.018619e+09	-8.474850e-01
4.018739e+09	-8.477768e-01
4.018859e+09	-8.501383e-01
4.018979e+09	-8.469613e-01
4.019099e+09	-8.488651e-01
4.019219e+09	-8.456255e-01
4.019339e+09	-8.518184e-01
4.019459e+09	-8.512318e-01
4.019580e+09	-8.537683e-01
4.019700e+09	-8.508686e-01
4.019820e+09	-8.542081e-01
4.019940e+09	-8.496413e-01
4.020060e+09	-8.524815e-01
4.020180e+09	-8.513561e-01
4.020300e+09	-8.471191e-01
4.020420e+09	-8.462663e-01
4.020541e+09	-8.482329e-01
4.020661e+09	-8.490280e-01
4.020781e+09	-8.474113e-01
4.020901e+09	-8.530444e-01
4.021021e+09	-8.485330e-01
4.021141e+09	-8.520623e-01
4.021261e+09	-8.555117e-01
4.021381e+09	-8.492103e-01
4.021502e+09	-8.536425e-01
4.021622e+09	-8.489854e-01
4.021742e+09	-8.562237e-01
4.021862e+09	-8.535739e-01
4.021982e+09	-8.533440e-01
4.022102e+09	-8.508584e-01
4.022222e+09	-8.593563e-01
4.022342e+09	-8.539519e-01
4.022462e+09	-8.528095e-01
4.022583e+09	-8.506449e-01
4.022703e+09	-8.570655e-01
4.022823e+09	-8.586859e-01
4.022943e+09	-8.561251e-01
4.023063e+09	-8.590184e-01
4.023183e+09	-8.516758e-01
4.023303e+09	-8.580184e-01
4.023423e+09	-8.568402e-01
4.023544e+09	-8.584657e-01
4.023664e+09	-8.502842e-01
4.023784e+09	-8.563645e-01
4.023904e+09	-8.550039e-01
4.024024e+09	-8.482464e-01
4.024144e+09	-8.572579e-01
4.024264e+09	-8.592660e-01
4.024384e+09	-8.577111e-01
4.024505e+09	-8.642272e-01
4.024625e+09	-8.574268e-01
4.024745e+09	-8.582436e-01
4.024865e+09	-8.569259e-01
4.024985e+09	-8.551876e-01
4.025105e+09	-8.573351e-01
4.025225e+09	-8.634282e-01
4.025345e+09	-8.541386e-01
4.025465e+09	-8.572164e-01
4.025586e+09	-8.572256e-01
4.025706e+09	-8.648960e-01
4.025826e+09	-8.649903e-01
4.025946e+09	-8.576212e-01
4.026066e+09	-8.643019e-01
4.026186e+09	-8.596224e-01
4.026306e+09	-8.604295e-01
4.026426e+09	-8.588893e-01
4.026547e+09	-8.604267e-01
4.026667e+09	-8.542131e-01
4.026787e+09	-8.626746e-01
4.026907e+09	-8.550829e-01
4.027027e+09	-8.603316e-01
4.027147e+09	-8.651645e-01
4.027267e+09	-8.664842e-01
4.027387e+09	-8.656465e-01
4.027508e+09	-8.582077e-01
4.027628e+09	-8.589636e-01
4.027748e+09	-8.608867e-01
4.027868e+09	-8.619393e-01
4.027988e+09	-8.608621e-01
4.028108e+09	-8.623816e-01
4.028228e+09	-8.624909e-01
4.028348e+09	-8.618439e-01
4.028468e+09	-8.669956e-01
4.028589e+09	-8.650780e-01
4.028709e+09	-8.662279e-01
4.028829e+09	-8.666259e-01
4.028949e+09	-8.589969e-01
4.029069e+09	-8.659684e-01
4.029189e+09	-8.688654e-01
4.029309e+09	-8.622352e-01
4.029429e+09	-8.750902e-01
4.029550e+09	-8.566592e-01
4.029670e+09	-8.663377e-01
4.029790e+09	-8.595404e-01
4.029910e+09	-8.630757e-01
4.030030e+09	-8.750759e-01
4.030150e+09	-8.729225e-01
4.030270e+09	-8.745949e-01
4.030390e+09	-8.679396e-01
4.030511e+09	-8.629647e-01
4.030631e+09	-8.658932e-01
4.030751e+09	-8.590056e-01
4.030871e+09	-8.694867e-01
4.030991e+09	-8.721344e-01
4.031111e+09	-8.705890e-01
4.031231e+09	-8.656976e-01
4.031351e+09	-8.723904e-01
4.031471e+09	-8.668373e-01
4.031592e+09	-8.681256e-01
4.031712e+09	-8.652935e-01
4.031832e+09	-8.706873e-01
4.031952e+09	-8.652422e-01
4.032072e+09	-8.687312e-01
4.032192e+09	-8.681854e-01
4.032312e+09	-8.718725e-01
4.032432e+09	-8.657391e-01
4.032553e+09	-8.705907e-01
4.032673e+09	-8.615100e-01
4.032793e+09	-8.676115e-01
4.032913e+09	-8.705890e-01
4.033033e+09	-8.700732e-01
4.033153e+09	-8.728073e-01
4.033273e+09	-8.678189e-01
4.033393e+09	-8.750235e-01
4.033514e+09	-8.647669e-01
4.033634e+09	-8.658611e-01
4.033754e+09	-8.729291e-01
4.033874e+09	-8.675768e-01
4.033994e+09	-8.654042e-01
4.034114e+09	-8.682926e-01
4.034234e+09	-8.623964e-01
4.034354e+09	-8.637402e-01
4.034474e+09	-8.697211e-01
4.034595e+09	-8.734881e-01
4.034715e+09	-8.722453e-01
4.034835e+09	-8.750202e-01
4.034955e+09	-8.691111e-01
4.035075e+09	-8.666326e-01
4.035195e+09	-8.680211e-01
4.035315e+09	-8.723335e-01
4.035435e+09	-8.636703e-01
4.035556e+09	-8.738209e-01
4.035676e+09	-8.773705e-01
4.035796e+09	-8.645087e-01
4.035916e+09	-8.678885e-01
4.036036e+09	-8.707859e-01
4.036156e+09	-8.804247e-01
4.036276e+09	-8.728081e-01
4.036396e+09	-8.787070e-01
4.036517e+09	-8.764423e-01
4.036637e+09	-8.753265e-01
4.036757e+09	-8.711863e-01
4.036877e+09	-8.732741e-01
4.036997e+09	-8.710812e-01
4.037117e+09	-8.727548e-01
4.037237e+09	-8.680965e-01
