# Frequenza (Hz)	S21 (dB)
4.056100e+09	-9.214049e-01
4.056400e+09	-8.889388e-01
4.056700e+09	-9.132432e-01
4.057000e+09	-9.040844e-01
4.057300e+09	-9.159330e-01
4.057600e+09	-9.091172e-01
4.057900e+09	-8.989510e-01
4.058200e+09	-9.158055e-01
4.058500e+09	-9.042750e-01
4.058800e+09	-9.071815e-01
4.059100e+09	-9.213044e-01
4.059400e+09	-9.052119e-01
4.059700e+09	-8.958628e-01
4.060000e+09	-8.959360e-01
4.060300e+09	-9.086500e-01
4.060600e+09	-8.907729e-01
4.060900e+09	-8.899487e-01
4.061200e+09	-9.121272e-01
4.061500e+09	-8.963437e-01
4.061800e+09	-9.006880e-01
4.062100e+09	-9.036025e-01
4.062400e+09	-8.918489e-01
4.062700e+09	-8.973762e-01
4.063000e+09	-8.939417e-01
4.063300e+09	-9.018547e-01
4.063600e+09	-8.999812e-01
4.063900e+09	-8.912312e-01
4.064200e+09	-9.027253e-01
4.064500e+09	-8.998483e-01
4.064800e+09	-9.010451e-01
4.065100e+09	-8.926225e-01
4.065400e+09	-8.977300e-01
4.065700e+09	-8.992297e-01
4.066000e+09	-8.885283e-01
4.066300e+09	-8.751787e-01
4.066600e+09	-9.012972e-01
4.066900e+09	-8.945548e-01
4.067200e+09	-8.888891e-01
4.067500e+09	-8.708736e-01
4.067800e+09	-8.761727e-01
4.068100e+09	-8.784518e-01
4.068400e+09	-8.794931e-01
4.068700e+09	-8.960329e-01
4.069000e+09	-9.008658e-01
4.069300e+09	-8.818644e-01
4.069600e+09	-8.836606e-01
4.069900e+09	-8.717634e-01
4.070200e+09	-8.970299e-01
4.070500e+09	-8.897801e-01
4.070800e+09	-8.710939e-01
4.071100e+09	-8.799212e-01
4.071400e+09	-8.911407e-01
4.071700e+09	-8.814197e-01
4.072000e+09	-8.806788e-01
4.072300e+09	-8.633976e-01
4.072600e+09	-8.684543e-01
4.072900e+09	-8.725229e-01
4.073200e+09	-8.681423e-01
4.073500e+09	-8.830202e-01
4.073800e+09	-8.834765e-01
4.074100e+09	-8.787933e-01
4.074400e+09	-8.753313e-01
4.074700e+09	-8.801532e-01
4.075000e+09	-8.883922e-01
4.075300e+09	-8.880561e-01
4.075600e+09	-8.707491e-01
4.075900e+09	-8.717873e-01
4.076200e+09	-8.810067e-01
4.076500e+09	-8.720361e-01
4.076800e+09	-8.780007e-01
4.077100e+09	-8.750086e-01
4.077400e+09	-8.763418e-01
4.077700e+09	-8.783012e-01
4.078000e+09	-8.747381e-01
4.078300e+09	-8.735297e-01
4.078600e+09	-8.765961e-01
4.078900e+09	-8.735807e-01
4.079200e+09	-8.753420e-01
4.079500e+09	-8.812873e-01
4.079800e+09	-8.645171e-01
4.080100e+09	-8.735899e-01
4.080400e+09	-8.642969e-01
4.080700e+09	-8.546076e-01
4.081000e+09	-8.721495e-01
4.081300e+09	-8.672375e-01
4.081600e+09	-8.751206e-01
4.081900e+09	-8.638031e-01
4.082200e+09	-8.651490e-01
4.082500e+09	-8.751415e-01
4.082800e+09	-8.722961e-01
4.083100e+09	-8.746910e-01
4.083400e+09	-8.687561e-01
4.083700e+09	-8.620452e-01
4.084000e+09	-8.685850e-01
4.084300e+09	-8.699417e-01
4.084600e+09	-8.677160e-01
4.084900e+09	-8.627320e-01
4.085200e+09	-8.704996e-01
4.085500e+09	-8.654676e-01
4.085800e+09	-8.673913e-01
4.086100e+09	-8.584483e-01
4.086400e+09	-8.599486e-01
4.086700e+09	-8.535546e-01
4.087000e+09	-8.677133e-01
4.087300e+09	-8.610669e-01
4.087600e+09	-8.718448e-01
4.087900e+09	-8.662688e-01
4.088200e+09	-8.546466e-01
4.088500e+09	-8.606609e-01
4.088800e+09	-8.693073e-01
4.089100e+09	-8.756839e-01
4.089400e+09	-8.621274e-01
4.089700e+09	-8.723861e-01
4.090000e+09	-8.542621e-01
4.090300e+09	-8.636104e-01
4.090600e+09	-8.587844e-01
4.090900e+09	-8.552912e-01
4.091200e+09	-8.637968e-01
4.091500e+09	-8.624591e-01
4.091800e+09	-8.680211e-01
4.092100e+09	-8.645237e-01
4.092400e+09	-8.714005e-01
4.092700e+09	-8.615782e-01
