frequency,Re(S21),Im(S21),Amplitude,phase
8632000000.0,-0.0007344802,0.0086531595,0.008684274897573906,1.6554733633759384
8632013213.0,-0.0006923267,0.0086555925,0.008683236596200124,1.65061245642907
8632026426.0,-0.0006660669,0.0086686047,0.008694156230488253,1.64748233964269
8632039640.0,-0.0006058883,0.0086431902,0.008664400583159398,1.640781916916232
8632052853.0,-0.0005409781,0.0086756026,0.008692452920655158,1.633071951206846
8632066066.0,-0.0004737094,0.0086464367,0.00865940345536315,1.6255282712425758
8632079279.0,-0.0004540166,0.0086688403,0.008680721353665238,1.6231219145097993
8632092492.0,-0.0004034612,0.0086822032,0.008691572547358487,1.6172328300631273
8632105706.0,-0.000329386,0.008671274,0.008677527753921159,1.6087639553501318
8632118919.0,-0.0002943506,0.0086544283,0.008659432514637506,1.6047947803356442
8632132132.0,-0.0002752885,0.0086596642,0.008664038770399974,1.6025753675794787
8632145345.0,-0.0002083636,0.0086803854,0.008682885815346078,1.5947956753519805
8632158559.0,-0.0001540203,0.0086543959,0.008655766323483376,1.5885912190292197
8632171772.0,-9.66196e-05,0.0086709612,0.008671499494263355,1.5819387594704362
8632184985.0,-7.39111e-05,0.0086883396,0.008688653972603086,1.5793030519634117
8632198198.0,-2.16929e-05,0.0086579741,0.008658001276171147,1.573301861502619
8632211411.0,4.78709e-05,0.0086739529,0.008674084996959923,1.5652774573088757
8632224625.0,8.24065e-05,0.0086539299,0.008654322246447509,1.5612741778635122
8632237838.0,0.000137331,0.008646091,0.008647181586149444,1.5549140682419373
8632251051.0,0.0001706109,0.0086349226,0.008636607921353706,1.551040654207111
8632264264.0,0.0002115392,0.0086219321,0.008624526767895562,1.5462662369788103
8632277477.0,0.0002621902,0.0086542603,0.008658231057273312,1.5405095064622933
8632290691.0,0.0003097406,0.0086411995,0.008646748986647445,1.5349670363446963
8632303904.0,0.0003565388,0.0086495998,0.008656944993244757,1.5295993834750286
8632317117.0,0.0004081833,0.0086258032,0.008635455659751205,1.5235104082240756
8632330330.0,0.0004707153,0.008642954,0.008655762631898479,1.5163877619216828
8632343544.0,0.0005277908,0.0086213347,0.008637475044131168,1.5096534819451062
8632356757.0,0.0005489946,0.0086246213,0.008642076581426645,1.5072277488273926
8632369970.0,0.0005993315,0.0086010286,0.00862188443583595,1.5012274034522126
8632383183.0,0.0006497524,0.0086474827,0.008671858810434188,1.4957995002247384
8632396396.0,0.0006986661,0.0085975566,0.00862589785526659,1.4897111692798983
8632409610.0,0.0007068954,0.0085847187,0.008613773636721066,1.4886382264791442
8632422823.0,0.0007687648,0.0086070651,0.008641329119606373,1.4817148338258854
8632436036.0,0.0008362965,0.0085823659,0.00862301549792154,1.4736594137902013
8632449249.0,0.0008966088,0.0085832969,0.008629999595236785,1.4667140864119528
