C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_sonnet_new.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-2D_sonnet_new
11.22,-0.259263
11.24,-0.258988
11.26,-0.258708
11.28,-0.258424
11.3,-0.258137
11.32,-0.257845
11.34,-0.25755
11.36,-0.257251
11.38,-0.256948
11.4,-0.256641
11.42,-0.256331
11.44,-0.256016
11.46,-0.255698
11.48,-0.255376
11.5,-0.255051
11.52,-0.254721
11.54,-0.254388
11.56,-0.254052
11.58,-0.253711
11.6,-0.253367
11.62,-0.25302
11.64,-0.252669
11.66,-0.252314
11.68,-0.251956
11.7,-0.251594
11.72,-0.251229
11.74,-0.25086
11.76,-0.250488
11.78,-0.250112
11.8,-0.249733
11.82,-0.24935
11.84,-0.248964
11.86,-0.248575
11.88,-0.248183
11.9,-0.247787
11.92,-0.247388
11.94,-0.246985
11.96,-0.246579
11.98,-0.246171
12,-0.245758
12.02,-0.245343
12.04,-0.244925
12.06,-0.244503
12.08,-0.244079
12.1,-0.243651
12.12,-0.24322
12.14,-0.242787
12.16,-0.24235
12.18,-0.24191
12.2,-0.241468
12.22,-0.241022
12.24,-0.240574
12.26,-0.240123
12.28,-0.239668
12.3,-0.239212
12.32,-0.238752
12.34,-0.238289
12.36,-0.237824
12.38,-0.237357
12.4,-0.236886
12.42,-0.236413
12.44,-0.235937
12.46,-0.235459
12.48,-0.234978
12.5,-0.234495
12.52,-0.234009
12.54,-0.233521
12.56,-0.23303
12.58,-0.232537
12.6,-0.232042
12.62,-0.231544
12.64,-0.231044
12.66,-0.230542
12.68,-0.230037
12.7,-0.229531
12.72,-0.229022
12.74,-0.228511
12.76,-0.227998
12.78,-0.227483
12.8,-0.226966
12.82,-0.226447
12.84,-0.225926
12.86,-0.225403
12.88,-0.224879
12.9,-0.224352
12.92,-0.223824
12.94,-0.223294
12.96,-0.222762
12.98,-0.222229
13,-0.221694
13.02,-0.221158
13.04,-0.22062
13.06,-0.22008
13.08,-0.219539
13.1,-0.218997
13.12,-0.218454
13.14,-0.217909
13.16,-0.217363
13.18,-0.216815
13.2,-0.216267
13.22,-0.215717
13.24,-0.215167
13.26,-0.214615
13.28,-0.214063
13.3,-0.21351
13.32,-0.212956
13.34,-0.212401
13.36,-0.211845
13.38,-0.211289
13.4,-0.210732
13.42,-0.210175
13.44,-0.209618
13.46,-0.20906
13.48,-0.208501
13.5,-0.207943
13.52,-0.207385
13.54,-0.206826
13.56,-0.206267
13.58,-0.205709
13.6,-0.205151
13.62,-0.204593
13.64,-0.204036
13.66,-0.203479
13.68,-0.202922
13.7,-0.202367
13.72,-0.201812
13.74,-0.201258
13.76,-0.200705
13.78,-0.200154
13.8,-0.199604
13.82,-0.199055
13.84,-0.198508
13.86,-0.197962
13.88,-0.197419
13.9,-0.196878
13.92,-0.196339
13.94,-0.195802
13.96,-0.195268
13.98,-0.194737
14,-0.19421
14.02,-0.193685
14.04,-0.193165
14.06,-0.192648
14.08,-0.192135
14.1,-0.191628
14.12,-0.191124
14.14,-0.190627
14.16,-0.190135
14.18,-0.189649
14.2,-0.189169
14.22,-0.188697
14.24,-0.188232
14.26,-0.187776
14.28,-0.187328
14.3,-0.18689
14.32,-0.186462
14.34,-0.186046
14.36,-0.185642
14.38,-0.185251
14.4,-0.184874
14.42,-0.184513
14.44,-0.184169
14.46,-0.183843
14.48,-0.183539
14.5,-0.183256
14.52,-0.182998
14.54,-0.182768
14.56,-0.182568
14.58,-0.182401
14.6,-0.182272
14.62,-0.182184
14.64,-0.182144
14.66,-0.182156
14.68,-0.182227
14.7,-0.182367
14.72,-0.182584
14.74,-0.18289
14.76,-0.183299
14.78,-0.183827
14.8,-0.184495
14.82,-0.185329
14.84,-0.186359
14.86,-0.187625
14.8684,-0.188238
14.8766,-0.18889
14.88,-0.189177
14.8846,-0.189582
14.8925,-0.190316
14.9,-0.19108
14.9001,-0.191091
14.9076,-0.19191
14.9149,-0.192774
14.92,-0.193419
14.922,-0.193685
14.929,-0.194644
14.9358,-0.195652
14.94,-0.196308
14.9425,-0.196712
14.949,-0.197824
14.9553,-0.198992
14.96,-0.199901
14.9616,-0.200216
14.9676,-0.201498
14.9736,-0.202842
14.9794,-0.204248
14.98,-0.204411
14.985,-0.205719
14.9905,-0.207258
14.996,-0.208866
15,-0.210144
15.0012,-0.210547
15.0064,-0.212302
15.0114,-0.214135
15.0164,-0.216048
15.02,-0.217544
15.0212,-0.218045
15.0259,-0.220128
15.0305,-0.2223
15.035,-0.224565
15.0394,-0.226926
15.04,-0.227285
15.0436,-0.229386
15.0478,-0.231949
15.0519,-0.234619
15.0559,-0.2374
15.0598,-0.240296
15.06,-0.240425
15.0636,-0.24331
15.0674,-0.246447
15.071,-0.249711
15.0746,-0.253108
15.0781,-0.25664
15.08,-0.258701
15.0815,-0.260314
15.0848,-0.264133
15.088,-0.268104
15.0912,-0.272231
15.0943,-0.276518
15.0973,-0.280973
15.1,-0.285128
15.1003,-0.2856
15.1032,-0.290404
15.106,-0.295392
15.1088,-0.300568
15.1115,-0.30594
15.1141,-0.311512
15.1167,-0.317291
15.1192,-0.323284
15.12,-0.325289
15.1216,-0.329495
15.124,-0.335931
15.1264,-0.342598
15.1287,-0.349502
15.1309,-0.35665
15.1331,-0.364047
15.1353,-0.3717
