C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P5_2PORT.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-PC2_1_1_P5_2PORT
16.3465,-0.617481
16.347,-0.617701
16.3475,-0.617925
16.348,-0.618153
16.3485,-0.618384
16.349,-0.61862
16.3495,-0.618859
16.35,-0.619103
16.3505,-0.61935
16.351,-0.619602
16.3515,-0.619858
16.352,-0.620119
16.3525,-0.620384
16.353,-0.620653
16.3535,-0.620927
16.354,-0.621205
16.3545,-0.621489
16.355,-0.621777
16.3555,-0.62207
16.356,-0.622367
16.3565,-0.62267
16.357,-0.622978
16.3575,-0.623291
16.358,-0.62361
16.3585,-0.623933
16.359,-0.624263
16.3595,-0.624597
16.36,-0.624938
16.3605,-0.625284
16.361,-0.625635
16.3615,-0.625993
16.362,-0.626357
16.3625,-0.626727
16.363,-0.627103
16.3635,-0.627485
16.364,-0.627874
16.3645,-0.62827
16.365,-0.628672
16.3655,-0.62908
16.366,-0.629496
16.3665,-0.629919
16.367,-0.630348
16.3675,-0.630785
16.368,-0.63123
16.3685,-0.631682
16.369,-0.632141
16.3695,-0.632608
16.37,-0.633084
16.3705,-0.633567
16.371,-0.634058
16.3715,-0.634558
16.372,-0.635066
16.3725,-0.635583
16.373,-0.636108
16.3735,-0.636643
16.374,-0.637187
16.3745,-0.637739
16.375,-0.638302
16.3755,-0.638873
16.376,-0.639455
16.3765,-0.640047
16.377,-0.640648
16.3775,-0.64126
16.378,-0.641883
16.3785,-0.642516
16.379,-0.643159
16.3795,-0.643814
16.38,-0.644481
16.3805,-0.645158
16.381,-0.645848
16.3815,-0.646549
16.382,-0.647262
16.3825,-0.647988
16.383,-0.648726
16.3835,-0.649477
16.384,-0.65024
16.3845,-0.651018
16.385,-0.651808
16.3855,-0.652612
16.386,-0.65343
16.3865,-0.654263
16.387,-0.655109
16.3875,-0.655971
16.388,-0.656847
16.3885,-0.657739
16.389,-0.658646
16.3895,-0.659568
16.39,-0.660507
16.3905,-0.661462
16.391,-0.662434
16.3915,-0.663422
16.392,-0.664428
16.3925,-0.665451
16.393,-0.666492
16.3935,-0.667551
16.394,-0.668628
16.3945,-0.669724
16.395,-0.670838
16.3955,-0.671972
16.396,-0.673125
16.3965,-0.674299
16.397,-0.675492
16.3975,-0.676706
16.398,-0.67794
16.3985,-0.679195
16.399,-0.680472
16.3995,-0.68177
16.4,-0.68309
16.4005,-0.684432
16.401,-0.685797
16.4015,-0.687185
16.402,-0.688595
16.4025,-0.690029
16.403,-0.691486
16.4035,-0.692967
16.404,-0.694472
16.4045,-0.696001
16.405,-0.697554
16.4055,-0.699132
16.406,-0.700735
16.4065,-0.702363
16.407,-0.704015
16.4075,-0.705693
16.408,-0.707396
16.4085,-0.709124
16.409,-0.710878
16.4095,-0.712657
16.41,-0.714461
16.4105,-0.71629
16.411,-0.718144
16.4115,-0.720024
16.412,-0.721927
16.4125,-0.723856
16.413,-0.725808
16.4135,-0.727784
16.414,-0.729783
