# Time(us)	Voltage(mV)
-121.024000	-32.349620
-120.048000	-28.687399
-119.072000	-35.554064
-118.096000	-26.245918
-117.120000	-22.736290
-116.144000	-19.684439
-115.168000	-25.177770
-114.192000	-31.128880
-113.216000	-18.463698
-112.240000	-15.564440
-111.264000	-3.967406
-110.288000	-13.733329
-109.312000	-1.220740
-108.336000	14.343699
-107.360000	16.022217
-106.384000	13.275552
-105.408000	0.000000
-104.432000	25.330363
-103.456000	18.005921
-102.480000	27.314066
-101.504000	35.859249
-100.528000	35.859249
-99.552000	30.518509
-98.576000	37.690359
-97.600000	31.434065
-96.624000	39.674062
-95.648000	59.511093
-94.672000	58.595538
-93.696000	50.508133
-92.720000	62.257759
-91.744000	40.894803
-90.768000	46.388134
-89.792000	42.115543
-88.816000	31.586657
-87.840000	39.826655
-86.864000	36.622211
-85.888000	33.722953
-84.912000	34.180731
-83.936000	32.959990
-82.960000	26.245918
-81.984000	27.314066
-81.008000	13.580737
-80.032000	5.340739
-79.056000	-11.291849
-78.080000	2.441481
-77.104000	-19.226661
-76.128000	-18.768883
-75.152000	-29.908139
-74.176000	-41.505173
-73.200000	-39.826655
-72.224000	-45.472579
-71.248000	-48.371838
-70.272000	-73.702200
-69.296000	-47.151097
-68.320000	-71.871090
-67.344000	-76.906644
-66.368000	-83.162938
-65.392000	-90.639973
-64.416000	-88.045900
-63.440000	-95.980712
-62.464000	-107.882931
-61.488000	-93.234046
-60.512000	-95.065157
-59.536000	-82.705161
-58.560000	-97.201453
-57.584000	-101.779229
-56.608000	-111.850337
-55.632000	-96.285897
-54.656000	-78.127384
-53.680000	-74.465163
-52.704000	-71.260720
-51.728000	-62.410352
-50.752000	-62.715537
-49.776000	-40.894803
-48.800000	-38.605914
-47.824000	-31.434065
-46.848000	-31.281472
-45.872000	-10.223701
-44.896000	15.564440
-43.920000	18.768883
-42.944000	24.414808
-41.968000	41.047395
-40.992000	48.677023
-40.016000	50.965911
-39.040000	69.277017
-38.064000	72.176275
-37.088000	82.247383
-36.112000	109.561449
-35.136000	105.594043
