C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=14.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
6.618,-0.189649
6.62,-0.189517
6.622,-0.189385
6.624,-0.189253
6.626,-0.189121
6.628,-0.188989
6.63,-0.188857
6.632,-0.188725
6.634,-0.188593
6.636,-0.188461
6.638,-0.188328
6.64,-0.188196
6.642,-0.188063
6.644,-0.187931
6.646,-0.187798
6.648,-0.187665
6.65,-0.187533
6.652,-0.1874
6.654,-0.187267
6.656,-0.187134
6.658,-0.187001
6.66,-0.186868
6.662,-0.186735
6.664,-0.186601
6.666,-0.186468
6.668,-0.186335
6.67,-0.186201
6.672,-0.186068
6.674,-0.185934
6.676,-0.185801
6.678,-0.185667
6.68,-0.185533
6.682,-0.1854
6.684,-0.185266
6.686,-0.185132
6.688,-0.184998
6.69,-0.184864
6.692,-0.18473
6.694,-0.184596
6.696,-0.184461
6.698,-0.184327
6.7,-0.184193
6.702,-0.184058
6.704,-0.183924
6.706,-0.183789
6.708,-0.183655
6.71,-0.18352
6.712,-0.183385
6.714,-0.183251
6.716,-0.183116
6.718,-0.182981
6.72,-0.182846
6.722,-0.182711
6.724,-0.182576
6.726,-0.182441
6.728,-0.182306
6.73,-0.182171
6.732,-0.182035
6.734,-0.1819
6.736,-0.181765
6.738,-0.181629
6.74,-0.181494
6.742,-0.181358
6.744,-0.181223
6.746,-0.181087
6.748,-0.180951
6.75,-0.180816
6.752,-0.18068
6.754,-0.180544
6.756,-0.180408
6.758,-0.180272
6.76,-0.180136
6.762,-0.18
6.764,-0.179864
6.766,-0.179728
6.768,-0.179591
6.77,-0.179455
6.772,-0.179319
6.774,-0.179182
6.776,-0.179046
6.778,-0.178909
6.78,-0.178773
6.782,-0.178636
6.784,-0.1785
6.786,-0.178363
6.788,-0.178226
6.79,-0.17809
6.792,-0.177953
6.794,-0.177816
6.796,-0.177679
6.798,-0.177542
6.8,-0.177405
6.802,-0.177268
6.804,-0.177131
6.806,-0.176994
6.808,-0.176857
6.81,-0.176719
6.812,-0.176582
6.814,-0.176445
6.816,-0.176307
6.818,-0.17617
6.82,-0.176032
6.822,-0.175895
6.824,-0.175757
6.826,-0.17562
6.828,-0.175482
6.83,-0.175345
6.832,-0.175207
6.834,-0.175069
6.836,-0.174931
6.838,-0.174793
6.84,-0.174656
6.842,-0.174518
6.844,-0.17438
6.846,-0.174242
6.848,-0.174104
6.85,-0.173965
6.852,-0.173827
6.854,-0.173689
6.856,-0.173551
6.858,-0.173413
6.86,-0.173274
6.862,-0.173136
6.864,-0.172998
6.866,-0.172859
6.868,-0.172721
6.87,-0.172582
6.872,-0.172444
6.874,-0.172305
6.876,-0.172167
6.878,-0.172028
6.88,-0.17189
6.882,-0.171751
6.884,-0.171612
6.886,-0.171473
6.888,-0.171335
6.89,-0.171196
6.892,-0.171057
6.894,-0.170918
6.896,-0.170779
6.898,-0.17064
6.9,-0.170501
6.902,-0.170362
6.904,-0.170223
6.906,-0.170084
6.908,-0.169945
6.91,-0.169806
6.912,-0.169666
6.914,-0.169527
6.916,-0.169388
6.918,-0.169249
6.92,-0.169109
6.922,-0.16897
6.924,-0.168831
6.926,-0.168691
6.928,-0.168552
6.93,-0.168412
6.932,-0.168273
6.934,-0.168133
6.936,-0.167994
6.938,-0.167854
6.94,-0.167715
6.942,-0.167575
6.944,-0.167436
6.946,-0.167296
6.948,-0.167156
6.95,-0.167016
6.952,-0.166877
6.954,-0.166737
6.956,-0.166597
6.958,-0.166457
6.96,-0.166317
6.962,-0.166178
6.964,-0.166038
6.966,-0.165898
6.968,-0.165758
6.97,-0.165618
6.972,-0.165478
6.974,-0.165338
6.976,-0.165198
6.978,-0.165058
6.98,-0.164918
6.982,-0.164778
6.984,-0.164638
6.986,-0.164498
6.988,-0.164357
6.99,-0.164217
6.992,-0.164077
6.994,-0.163937
6.996,-0.163797
6.998,-0.163656
7,-0.163516
7.002,-0.163376
7.004,-0.163236
7.006,-0.163095
7.008,-0.162955
7.01,-0.162815
7.012,-0.162674
7.014,-0.162534
7.016,-0.162394
7.018,-0.162253
7.02,-0.162113
7.022,-0.161972
7.024,-0.161832
7.026,-0.161692
7.028,-0.161551
7.03,-0.161411
7.032,-0.16127
7.034,-0.16113
7.036,-0.160989
7.038,-0.160849
7.04,-0.160708
7.042,-0.160568
7.044,-0.160427
7.046,-0.160287
7.048,-0.160146
7.05,-0.160005
7.052,-0.159865
7.054,-0.159724
7.056,-0.159584
7.058,-0.159443
7.06,-0.159302
7.062,-0.159162
7.064,-0.159021
7.066,-0.158881
7.068,-0.15874
7.07,-0.158599
7.072,-0.158459
7.074,-0.158318
7.076,-0.158177
7.078,-0.158037
7.08,-0.157896
7.082,-0.157755
7.084,-0.157615
7.086,-0.157474
7.088,-0.157333
7.09,-0.157193
7.092,-0.157052
7.094,-0.156911
7.096,-0.156771
7.098,-0.15663
7.1,-0.156489
7.102,-0.156349
7.104,-0.156208
7.106,-0.156067
7.108,-0.155926
7.11,-0.155786
7.112,-0.155645
7.114,-0.155504
7.116,-0.155364
7.118,-0.155223
7.12,-0.155082
7.122,-0.154942
7.124,-0.154801
7.126,-0.15466
7.128,-0.15452
7.13,-0.154379
7.132,-0.154239
7.134,-0.154098
7.136,-0.153957
7.138,-0.153817
7.14,-0.153676
7.142,-0.153535
7.144,-0.153395
7.146,-0.153254
7.148,-0.153114
7.15,-0.152973
7.152,-0.152833
7.154,-0.152692
7.156,-0.152552
7.158,-0.152411
7.16,-0.152271
7.162,-0.15213
7.164,-0.15199
7.166,-0.151849
7.168,-0.151709
7.17,-0.151568
7.172,-0.151428
7.174,-0.151287
7.176,-0.151147
7.178,-0.151006
7.18,-0.150866
7.182,-0.150726
7.184,-0.150585
7.186,-0.150445
7.188,-0.150305
7.19,-0.150164
7.192,-0.150024
7.194,-0.149884
7.196,-0.149744
7.198,-0.149603
