C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
11.2,-0.133013
11.22,-0.132004
11.24,-0.130997
11.26,-0.129993
11.28,-0.128991
11.3,-0.127993
11.32,-0.126997
11.34,-0.126004
11.36,-0.125015
11.38,-0.124028
11.4,-0.123045
11.42,-0.122065
11.44,-0.121089
11.46,-0.120116
11.48,-0.119147
11.5,-0.118182
11.52,-0.11722
11.54,-0.116263
11.56,-0.115309
11.58,-0.114359
11.6,-0.113414
11.62,-0.112473
11.64,-0.111537
11.66,-0.110604
11.68,-0.109677
11.7,-0.108754
11.72,-0.107836
11.74,-0.106922
11.76,-0.106014
11.78,-0.105111
11.8,-0.104213
11.82,-0.103319
11.84,-0.102432
11.86,-0.101549
11.88,-0.100673
11.9,-0.0998013
11.92,-0.0989357
11.94,-0.0980758
11.96,-0.0972217
11.98,-0.0963736
12,-0.0955314
12.02,-0.0946953
12.04,-0.0938653
12.06,-0.0930416
12.08,-0.0922243
12.1,-0.091413
12.12,-0.090608
12.14,-0.0898091
12.16,-0.0890166
12.18,-0.0882304
12.2,-0.0874507
12.22,-0.0866775
12.24,-0.085911
12.26,-0.0851512
12.28,-0.0843982
12.3,-0.0836521
12.32,-0.082913
12.34,-0.0821809
12.36,-0.081456
12.38,-0.0807383
12.4,-0.0800279
12.42,-0.0793249
12.44,-0.0786293
12.46,-0.0779412
12.48,-0.0772608
12.5,-0.076588
12.52,-0.075923
12.54,-0.0752658
12.56,-0.0746165
12.58,-0.0739752
12.6,-0.0733419
12.62,-0.0727168
12.64,-0.0720998
12.66,-0.0714911
12.68,-0.0708907
12.7,-0.0702987
12.72,-0.0697151
12.74,-0.06914
12.76,-0.0685736
12.78,-0.0680158
12.8,-0.0674666
12.82,-0.0669263
12.84,-0.0663948
12.86,-0.0658721
12.88,-0.0653584
12.9,-0.0648537
