C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=10.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
7.735,-0.215576
7.7375,-0.215302
7.74,-0.215028
7.7425,-0.214754
7.745,-0.21448
7.7475,-0.214206
7.75,-0.213932
7.7525,-0.213658
7.755,-0.213384
7.7575,-0.21311
7.76,-0.212836
7.7625,-0.212562
7.765,-0.212288
7.7675,-0.212014
7.77,-0.21174
7.7725,-0.211466
7.775,-0.211193
7.7775,-0.210919
7.78,-0.210645
7.7825,-0.210371
7.785,-0.210098
7.7875,-0.209824
7.79,-0.209551
7.7925,-0.209277
7.795,-0.209004
7.7975,-0.20873
7.8,-0.208457
7.8025,-0.208183
7.805,-0.20791
7.8075,-0.207637
7.81,-0.207363
7.8125,-0.20709
7.815,-0.206817
7.8175,-0.206544
7.82,-0.206271
7.8225,-0.205998
7.825,-0.205725
7.8275,-0.205452
7.83,-0.205179
7.8325,-0.204906
7.835,-0.204633
7.8375,-0.20436
7.84,-0.204087
7.8425,-0.203815
7.845,-0.203542
7.8475,-0.20327
7.85,-0.202997
7.8525,-0.202725
7.855,-0.202452
7.8575,-0.20218
7.86,-0.201908
7.8625,-0.201635
7.865,-0.201363
7.8675,-0.201091
7.87,-0.200819
7.8725,-0.200547
7.875,-0.200275
7.8775,-0.200003
7.88,-0.199731
7.8825,-0.199459
7.885,-0.199188
7.8875,-0.198916
7.89,-0.198645
7.8925,-0.198373
7.895,-0.198102
7.8975,-0.19783
7.9,-0.197559
7.9025,-0.197288
7.905,-0.197017
7.9075,-0.196745
7.91,-0.196474
7.9125,-0.196204
7.915,-0.195933
7.9175,-0.195662
7.92,-0.195391
7.9225,-0.195121
7.925,-0.19485
7.9275,-0.194579
7.93,-0.194309
7.9325,-0.194039
7.935,-0.193768
7.9375,-0.193498
7.94,-0.193228
7.9425,-0.192958
7.945,-0.192688
7.9475,-0.192418
7.95,-0.192149
7.9525,-0.191879
7.955,-0.191609
7.9575,-0.19134
7.96,-0.19107
7.9625,-0.190801
7.965,-0.190532
7.9675,-0.190263
7.97,-0.189994
7.9725,-0.189725
7.975,-0.189456
7.9775,-0.189187
7.98,-0.188918
7.9825,-0.18865
7.985,-0.188381
7.9875,-0.188113
7.99,-0.187845
7.9925,-0.187577
7.995,-0.187308
7.9975,-0.18704
8,-0.186773
8.0025,-0.186505
8.005,-0.186237
8.0075,-0.185969
8.01,-0.185702
8.0125,-0.185435
8.015,-0.185167
8.0175,-0.1849
8.02,-0.184633
8.0225,-0.184366
8.025,-0.184099
8.0275,-0.183833
8.03,-0.183566
8.0325,-0.1833
8.035,-0.183033
8.0375,-0.182767
8.04,-0.182501
8.0425,-0.182235
8.045,-0.181969
8.0475,-0.181703
8.05,-0.181437
8.0525,-0.181172
8.055,-0.180906
8.0575,-0.180641
8.06,-0.180376
8.0625,-0.180111
8.065,-0.179846
8.0675,-0.179581
8.07,-0.179316
8.0725,-0.179052
8.075,-0.178787
8.0775,-0.178523
8.08,-0.178259
8.0825,-0.177995
8.085,-0.177731
8.0875,-0.177467
8.09,-0.177203
8.0925,-0.17694
8.095,-0.176676
8.0975,-0.176413
8.1,-0.17615
8.1025,-0.175887
8.105,-0.175624
8.1075,-0.175361
8.11,-0.175099
8.1125,-0.174836
8.115,-0.174574
8.1175,-0.174312
8.12,-0.17405
8.1225,-0.173788
8.125,-0.173526
8.1275,-0.173265
8.13,-0.173003
8.1325,-0.172742
8.135,-0.172481
8.1375,-0.17222
8.14,-0.171959
8.1425,-0.171698
8.145,-0.171438
8.1475,-0.171177
8.15,-0.170917
8.1525,-0.170657
8.155,-0.170397
8.1575,-0.170137
8.16,-0.169878
8.1625,-0.169618
8.165,-0.169359
8.1675,-0.1691
8.17,-0.168841
8.1725,-0.168582
8.175,-0.168324
8.1775,-0.168065
8.18,-0.167807
8.1825,-0.167549
8.185,-0.167291
8.1875,-0.167033
8.19,-0.166776
8.1925,-0.166518
8.195,-0.166261
8.1975,-0.166004
8.2,-0.165747
8.2025,-0.16549
8.205,-0.165234
8.2075,-0.164977
8.21,-0.164721
8.2125,-0.164465
8.215,-0.164209
8.2175,-0.163954
8.22,-0.163698
8.2225,-0.163443
8.225,-0.163188
8.2275,-0.162933
8.23,-0.162678
8.2325,-0.162424
8.235,-0.16217
8.2375,-0.161915
8.24,-0.161662
8.2425,-0.161408
8.245,-0.161154
8.2475,-0.160901
8.25,-0.160648
8.2525,-0.160395
8.255,-0.160142
8.2575,-0.15989
8.26,-0.159637
8.2625,-0.159385
8.265,-0.159133
8.2675,-0.158881
8.27,-0.15863
8.2725,-0.158379
8.275,-0.158127
8.2775,-0.157877
8.28,-0.157626
8.2825,-0.157375
8.285,-0.157125
8.2875,-0.156875
8.29,-0.156625
8.2925,-0.156376
8.295,-0.156126
8.2975,-0.155877
8.3,-0.155628
8.3025,-0.15538
8.305,-0.155131
8.3075,-0.154883
8.31,-0.154635
8.3125,-0.154387
8.315,-0.15414
8.3175,-0.153892
8.32,-0.153645
8.3225,-0.153398
8.325,-0.153152
8.3275,-0.152905
8.33,-0.152659
8.3325,-0.152413
8.335,-0.152168
8.3375,-0.151922
8.34,-0.151677
8.3425,-0.151432
8.345,-0.151188
8.3475,-0.150943
8.35,-0.150699
8.3525,-0.150455
8.355,-0.150212
8.3575,-0.149968
8.36,-0.149725
8.3625,-0.149483
8.365,-0.14924
8.3675,-0.148998
8.37,-0.148756
8.3725,-0.148514
8.375,-0.148272
8.3775,-0.148031
8.38,-0.14779
8.3825,-0.14755
8.385,-0.147309
8.3875,-0.147069
8.39,-0.146829
8.3925,-0.14659
8.395,-0.146351
8.3975,-0.146112
8.4,-0.145873
8.4025,-0.145635
8.405,-0.145397
8.4075,-0.145159
8.41,-0.144921
8.4125,-0.144684
8.415,-0.144447
8.4175,-0.144211
8.42,-0.143975
8.4225,-0.143739
8.425,-0.143503
8.4275,-0.143268
8.43,-0.143033
8.4325,-0.142798
8.435,-0.142564
8.4375,-0.14233
8.44,-0.142096
8.4425,-0.141863
8.445,-0.14163
8.4475,-0.141398
8.45,-0.141165
8.4525,-0.140933
8.455,-0.140702
8.4575,-0.140471
8.46,-0.14024
8.4625,-0.140009
8.465,-0.139779
8.4675,-0.139549
8.47,-0.13932
8.4725,-0.139091
8.475,-0.138862
8.4775,-0.138634
8.48,-0.138406
8.4825,-0.138178
8.485,-0.137951
8.4875,-0.137724
8.49,-0.137498
8.4925,-0.137272
8.495,-0.137047
8.4975,-0.136822
8.5,-0.136597
8.5025,-0.136373
8.505,-0.136149
8.5075,-0.135925
8.51,-0.135702
8.5125,-0.13548
8.515,-0.135258
8.5175,-0.135036
8.52,-0.134815
8.5225,-0.134594
8.525,-0.134374
8.5275,-0.134154
8.53,-0.133935
8.5325,-0.133716
8.535,-0.133497
8.5375,-0.13328
8.54,-0.133062
8.5425,-0.132845
8.545,-0.132629
8.5475,-0.132413
8.55,-0.132198
8.5525,-0.131983
8.555,-0.131769
8.5575,-0.131555
8.56,-0.131342
8.5625,-0.13113
8.565,-0.130918
8.5675,-0.130706
8.57,-0.130496
8.5725,-0.130285
8.575,-0.130076
8.5775,-0.129867
8.58,-0.129659
8.5825,-0.129451
8.585,-0.129244
8.5875,-0.129038
8.59,-0.128832
8.5925,-0.128627
8.595,-0.128423
8.5975,-0.128219
8.6,-0.128016
8.6025,-0.127814
8.605,-0.127613
8.6075,-0.127412
8.61,-0.127212
8.6125,-0.127013
8.615,-0.126815
8.6175,-0.126617
8.62,-0.126421
8.6225,-0.126225
8.625,-0.12603
8.6275,-0.125836
8.63,-0.125643
8.6325,-0.125451
8.635,-0.12526
8.6375,-0.12507
8.64,-0.124881
8.6425,-0.124692
8.645,-0.124505
8.6475,-0.124319
8.65,-0.124134
8.6525,-0.12395
8.655,-0.123768
8.6575,-0.123586
8.66,-0.123406
8.6625,-0.123227
8.665,-0.123049
8.6675,-0.122873
8.67,-0.122697
8.6725,-0.122524
8.675,-0.122351
8.6775,-0.12218
8.68,-0.122011
8.6825,-0.121843
8.685,-0.121677
8.6875,-0.121512
8.69,-0.12135
8.6925,-0.121188
8.695,-0.121029
8.6975,-0.120871
8.7,-0.120716
8.7025,-0.120562
8.705,-0.120411
8.7075,-0.120261
8.71,-0.120114
8.7125,-0.119969
8.715,-0.119826
8.7175,-0.119686
8.72,-0.119549
8.7225,-0.119414
8.725,-0.119281
8.7275,-0.119152
8.73,-0.119025
8.7325,-0.118902
8.735,-0.118782
8.7375,-0.118665
8.74,-0.118552
8.7425,-0.118442
8.745,-0.118336
8.7475,-0.118234
8.75,-0.118136
8.7525,-0.118042
8.755,-0.117953
8.7575,-0.117869
8.76,-0.11779
8.7625,-0.117716
8.765,-0.117647
8.7675,-0.117584
8.77,-0.117527
8.7725,-0.117477
8.775,-0.117433
8.7775,-0.117397
8.78,-0.117368
8.7825,-0.117347
8.785,-0.117334
8.7875,-0.117331
8.79,-0.117336
8.7925,-0.117352
8.795,-0.117378
8.7975,-0.117416
8.8,-0.117466
8.8025,-0.117529
8.805,-0.117605
8.8075,-0.117696
8.81,-0.117803
8.8125,-0.117927
8.815,-0.118069
8.8175,-0.118231
8.82,-0.118413
8.8225,-0.118618
8.825,-0.118848
8.82514,-0.118861
8.8275,-0.119104
8.82771,-0.119127
8.83,-0.119389
8.83023,-0.119417
8.8325,-0.119706
8.83269,-0.119731
8.835,-0.120056
8.83509,-0.12007
8.83744,-0.120434
8.8375,-0.120444
8.83974,-0.120824
8.84,-0.120872
8.84198,-0.121241
8.8425,-0.121344
8.84417,-0.121686
8.845,-0.121866
8.84631,-0.122159
8.8475,-0.122441
8.8484,-0.122661
8.85,-0.123075
8.85044,-0.123193
8.85244,-0.123756
8.8525,-0.123774
8.85439,-0.124351
8.855,-0.124547
8.85629,-0.124978
8.8575,-0.1254
8.85816,-0.125639
8.85998,-0.126334
8.86,-0.126343
8.86175,-0.127064
8.8625,-0.127387
8.86349,-0.127832
8.865,-0.128544
8.86519,-0.128636
8.86685,-0.12948
8.8675,-0.129828
8.86847,-0.130363
8.87,-0.131256
8.87005,-0.131287
8.8716,-0.132253
8.8725,-0.132847
8.87311,-0.133262
8.87459,-0.134316
8.875,-0.134624
8.87603,-0.135416
8.87744,-0.136562
8.8775,-0.136613
8.87882,-0.137756
8.88,-0.138845
8.88016,-0.139
8.88148,-0.140295
8.8825,-0.141357
8.88276,-0.141641
8.88402,-0.14304
8.885,-0.144195
8.88525,-0.144494
8.88645,-0.146004
8.8875,-0.147409
8.88762,-0.147571
8.88876,-0.149195
8.88988,-0.150879
8.89,-0.151066
8.89097,-0.152624
8.89204,-0.15443
8.8925,-0.15524
8.89308,-0.156299
8.8941,-0.158231
8.895,-0.160025
8.8951,-0.160229
8.89607,-0.162292
8.89702,-0.164421
8.8975,-0.165535
8.89795,-0.166618
8.89886,-0.168883
8.89975,-0.171216
8.9,-0.171906
8.90061,-0.173619
8.90146,-0.176091
8.90229,-0.178632
8.9025,-0.179307
8.9031,-0.181244
8.90389,-0.183925
8.90466,-0.186676
8.905,-0.187941
8.90541,-0.189496
8.90615,-0.192385
8.90687,-0.195342
8.9075,-0.198052
8.90757,-0.198366
8.90826,-0.201457
8.90893,-0.204613
8.90959,-0.207833
8.91,-0.209933
8.91023,-0.211115
8.91085,-0.214457
8.91147,-0.217858
8.91206,-0.221315
8.9125,-0.22392
8.91265,-0.224826
8.91322,-0.228389
8.91378,-0.232
8.91432,-0.235657
8.91486,-0.239356
8.915,-0.240383
8.91538,-0.243095
8.91588,-0.24687
8.91638,-0.250677
8.91687,-0.254512
8.91734,-0.258372
8.9175,-0.259692
8.9178,-0.262252
8.91826,-0.266149
8.9187,-0.270059
8.91913,-0.273976
8.91955,-0.277897
8.91997,-0.281818
8.92,-0.282134
8.92037,-0.285734
8.92076,-0.289641
8.92115,-0.293534
8.92153,-0.29741
8.92189,-0.301263
