C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_2port.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_2_5CELL_mod_2port
14.3572,-0.843544
14.3574,-0.843621
14.3576,-0.843698
14.3578,-0.843776
14.358,-0.843854
14.3582,-0.843932
14.3584,-0.844011
14.3586,-0.84409
14.3588,-0.844169
14.359,-0.844249
14.3592,-0.844329
14.3594,-0.844409
14.3596,-0.84449
14.3598,-0.844571
14.36,-0.844652
14.3602,-0.844734
14.3604,-0.844816
14.3606,-0.844899
14.3608,-0.844982
14.361,-0.845065
14.3612,-0.845149
14.3614,-0.845233
14.3616,-0.845317
14.3618,-0.845402
14.362,-0.845487
14.3622,-0.845572
14.3624,-0.845658
14.3626,-0.845744
14.3628,-0.845831
14.363,-0.845918
14.3632,-0.846005
14.3634,-0.846093
14.3636,-0.846181
14.3638,-0.84627
14.364,-0.846359
14.3642,-0.846448
14.3644,-0.846538
14.3646,-0.846628
14.3648,-0.846718
14.365,-0.846809
14.3652,-0.8469
14.3654,-0.846992
14.3656,-0.847084
14.3658,-0.847177
14.366,-0.84727
14.3662,-0.847363
14.3664,-0.847456
14.3666,-0.847551
14.3668,-0.847645
14.367,-0.84774
14.3672,-0.847835
14.3674,-0.847931
14.3676,-0.848027
14.3678,-0.848124
14.368,-0.848221
14.3682,-0.848318
14.3684,-0.848416
14.3686,-0.848514
14.3688,-0.848613
14.369,-0.848712
14.3692,-0.848812
14.3694,-0.848912
14.3696,-0.849012
14.3698,-0.849113
14.37,-0.849214
14.3702,-0.849316
14.3704,-0.849418
14.3706,-0.849521
14.3708,-0.849624
14.371,-0.849727
14.3712,-0.849831
14.3714,-0.849935
14.3716,-0.85004
14.3718,-0.850146
14.372,-0.850251
14.3722,-0.850358
14.3724,-0.850464
14.3726,-0.850571
14.3728,-0.850679
14.373,-0.850787
14.3732,-0.850895
14.3734,-0.851004
14.3736,-0.851114
14.3738,-0.851224
14.374,-0.851334
14.3742,-0.851445
14.3744,-0.851556
14.3746,-0.851668
14.3748,-0.851781
14.375,-0.851893
14.3752,-0.852007
14.3754,-0.85212
14.3756,-0.852235
14.3758,-0.852349
14.376,-0.852465
14.3762,-0.85258
14.3764,-0.852697
14.3766,-0.852813
14.3768,-0.852931
14.377,-0.853048
14.3772,-0.853167
14.3774,-0.853285
14.3776,-0.853405
14.3778,-0.853524
14.378,-0.853645
14.3782,-0.853766
14.3784,-0.853887
14.3786,-0.854009
14.3788,-0.854131
14.379,-0.854254
14.3792,-0.854377
14.3794,-0.854501
14.3796,-0.854626
14.3798,-0.854751
14.38,-0.854877
14.3802,-0.855003
14.3804,-0.855129
14.3806,-0.855257
14.3808,-0.855384
14.381,-0.855513
14.3812,-0.855641
14.3814,-0.855771
14.3816,-0.855901
