C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_3ports_DEF.son DE_EMBEDDED Lk=1.0
FREQUENCY (GHz), DB[Z33]-Photon_count_2_V5_2D_2_5CELL_mod_3ports_DEF
8.96,33.8593
8.98,33.8078
9,33.7561
9.02,33.7043
9.04,33.6523
9.06,33.6001
9.08,33.5478
9.1,33.4954
9.12,33.4427
9.14,33.3899
9.16,33.337
9.18,33.2839
9.2,33.2305
9.22,33.1771
9.24,33.1234
9.26,33.0696
9.28,33.0155
9.3,32.9613
9.32,32.9069
9.34,32.8523
9.36,32.7976
9.38,32.7426
9.4,32.6874
9.42,32.6321
9.44,32.5765
9.46,32.5207
9.48,32.4647
9.5,32.4085
9.52,32.3521
9.54,32.2955
9.56,32.2387
9.58,32.1816
9.6,32.1243
9.62,32.0668
9.64,32.009
9.66,31.9511
9.68,31.8928
9.7,31.8344
9.72,31.7757
9.74,31.7167
9.76,31.6576
9.78,31.5981
9.8,31.5384
9.82,31.4784
9.84,31.4182
9.86,31.3577
9.88,31.297
9.9,31.2359
9.92,31.1746
9.94,31.113
9.96,31.0511
9.98,30.9889
10,30.9265
10.02,30.8637
10.04,30.8006
10.06,30.7373
10.08,30.6736
10.1,30.6096
10.12,30.5453
10.14,30.4806
10.16,30.4156
10.18,30.3503
10.2,30.2847
10.22,30.2187
10.24,30.1523
10.26,30.0857
10.28,30.0186
10.3,29.9512
10.32,29.8834
10.34,29.8152
10.36,29.7467
10.38,29.6778
10.4,29.6084
10.42,29.5387
10.44,29.4686
10.46,29.3981
10.48,29.3271
10.5,29.2557
10.52,29.1839
10.54,29.1117
10.56,29.039
10.58,28.9658
10.6,28.8922
10.62,28.8182
10.64,28.7436
10.66,28.6686
10.68,28.5931
10.7,28.5171
10.72,28.4406
10.74,28.3635
10.76,28.286
10.78,28.2079
10.8,28.1293
10.82,28.0501
10.84,27.9703
10.86,27.89
10.88,27.8091
10.9,27.7277
10.92,27.6456
10.94,27.5629
10.96,27.4795
10.98,27.3956
11,27.311
11.02,27.2257
11.04,27.1398
11.06,27.0532
11.08,26.9659
11.1,26.8778
11.12,26.7891
11.14,26.6996
11.16,26.6094
11.18,26.5184
11.2,26.4266
11.22,26.334
11.24,26.2406
11.26,26.1463
11.28,26.0512
11.3,25.9553
11.32,25.8585
11.34,25.7607
11.36,25.662
11.38,25.5624
11.4,25.4618
11.42,25.3603
11.44,25.2577
11.46,25.1541
11.48,25.0494
11.5,24.9437
11.52,24.8368
11.54,24.7289
11.56,24.6197
11.58,24.5094
11.6,24.3978
11.62,24.2851
11.64,24.171
11.66,24.0556
11.68,23.9389
11.7,23.8208
11.72,23.7013
11.74,23.5803
11.76,23.4578
11.78,23.3338
11.8,23.2083
11.82,23.0811
11.84,22.9522
11.86,22.8216
11.88,22.6893
11.9,22.5552
11.92,22.4191
11.94,22.2812
11.96,22.1413
11.98,21.9993
12,21.8552
12.02,21.7089
12.04,21.5603
12.06,21.4094
12.08,21.2561
12.1,21.1004
12.12,20.942
12.14,20.7809
12.16,20.6171
12.18,20.4504
12.2,20.2807
12.22,20.108
12.24,19.9319
12.26,19.7526
12.28,19.5697
12.3,19.3833
12.32,19.193
12.34,18.9988
12.36,18.8004
12.38,18.5978
12.4,18.3906
12.42,18.1787
12.44,17.9619
12.46,17.7398
12.48,17.5122
12.5,17.279
12.52,17.0396
12.54,16.7938
12.56,16.5413
12.58,16.2816
12.6,16.0143
12.62,15.739
12.64,15.455
12.66,15.162
12.68,14.8591
12.7,14.5458
12.72,14.2213
12.74,13.8847
12.76,13.5351
12.78,13.1714
12.8,12.7924
12.82,12.3967
12.84,11.9827
12.86,11.5488
12.88,11.0928
12.9,10.6123
12.92,10.1045
12.94,9.56614
12.96,8.99323
12.98,8.38102
13,7.7237
13.02,7.01408
13.04,6.24314
13.06,5.39933
13.08,4.46758
13.1,3.42773
13.12,2.25207
13.14,0.901215
13.16,-0.68283
13.18,-2.58842
13.2,-4.95092
13.22,-7.94068
13.24,-11.3508
13.26,-12.4152
13.28,-9.48399
13.3,-6.21937
13.32,-3.60842
13.34,-1.531
13.36,0.171472
13.38,1.60616
13.4,2.84273
13.42,3.92776
13.44,4.89351
13.46,5.7631
13.48,6.55364
13.5,7.27809
13.52,7.94648
13.54,8.56677
13.56,9.14531
13.58,9.68731
13.6,10.1971
13.62,10.6781
13.64,11.1335
13.66,11.5658
13.68,11.9772
13.7,12.3696
13.72,12.7446
13.74,13.1038
13.76,13.4483
13.78,13.7794
13.8,14.098
13.82,14.4049
13.84,14.7011
13.86,14.9872
13.88,15.2639
