C:\Users\oper\Downloads\Photon_Count_2_V5_PC_2_1_1_PIXEL3_2PORT.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-Photon_Count_2_V5_PC_2_1_1_PIXEL3_2PORT
12.75,-0.737011
12.775,-0.729475
12.8,-0.721943
12.825,-0.714416
12.85,-0.706893
12.875,-0.699377
12.9,-0.691868
12.925,-0.684366
12.95,-0.676872
12.975,-0.669388
13,-0.661913
13.025,-0.654449
13.05,-0.646996
13.075,-0.639556
13.1,-0.632129
13.125,-0.624716
13.15,-0.617317
13.175,-0.609933
13.2,-0.602566
13.225,-0.595216
13.25,-0.587884
13.275,-0.58057
13.3,-0.573276
13.325,-0.566002
13.35,-0.55875
13.375,-0.551519
13.4,-0.544311
13.425,-0.537127
13.45,-0.529967
13.475,-0.522832
13.5,-0.515724
13.525,-0.508642
13.55,-0.501589
13.575,-0.494564
13.6,-0.487568
13.625,-0.480603
13.65,-0.47367
13.675,-0.466768
13.7,-0.459899
13.725,-0.453064
13.75,-0.446264
13.775,-0.4395
13.8,-0.432772
13.825,-0.426082
13.85,-0.419429
13.875,-0.412816
13.9,-0.406243
13.925,-0.399711
13.95,-0.393221
13.975,-0.386774
14,-0.380371
14.025,-0.374012
14.05,-0.367699
14.075,-0.361433
14.1,-0.355214
14.125,-0.349044
14.15,-0.342923
14.175,-0.336853
14.2,-0.330835
14.225,-0.32487
14.25,-0.318959
14.275,-0.313103
14.3,-0.307303
14.325,-0.301561
14.35,-0.295877
14.375,-0.290254
14.4,-0.284692
14.425,-0.279194
14.45,-0.27376
14.475,-0.268393
14.5,-0.263995
14.502,-0.263575
14.504,-0.263155
14.506,-0.262736
14.508,-0.262317
14.51,-0.261899
14.512,-0.261481
14.514,-0.261064
14.516,-0.260647
14.518,-0.26023
14.52,-0.259814
14.522,-0.259398
14.524,-0.258983
14.526,-0.258568
14.528,-0.258154
14.53,-0.25774
14.532,-0.257326
14.534,-0.256913
14.536,-0.2565
14.538,-0.256088
14.54,-0.255676
14.542,-0.255265
14.544,-0.254854
14.546,-0.254444
14.548,-0.254034
14.55,-0.253624
14.552,-0.253215
14.554,-0.252807
14.556,-0.252399
14.558,-0.251991
14.56,-0.251584
14.562,-0.251177
14.564,-0.250771
14.566,-0.250365
14.568,-0.24996
14.57,-0.249555
14.572,-0.249151
14.574,-0.248747
14.576,-0.248344
14.578,-0.247941
14.58,-0.247538
14.582,-0.247136
14.584,-0.246735
14.586,-0.246334
14.588,-0.245933
14.59,-0.245533
14.592,-0.245134
14.594,-0.244735
14.596,-0.244337
14.598,-0.243939
14.6,-0.243541
14.602,-0.243144
14.604,-0.242748
14.606,-0.242352
14.608,-0.241956
14.61,-0.241561
14.612,-0.241167
14.614,-0.240773
14.616,-0.24038
14.618,-0.239987
14.62,-0.239595
14.622,-0.239203
14.624,-0.238812
14.626,-0.238421
14.628,-0.238031
14.63,-0.237641
14.632,-0.237252
14.634,-0.236863
14.636,-0.236475
14.638,-0.236088
14.64,-0.235701
14.642,-0.235315
14.644,-0.234929
14.646,-0.234544
14.648,-0.234159
14.65,-0.233775
14.652,-0.233392
14.654,-0.233009
14.656,-0.232626
14.658,-0.232244
14.66,-0.231863
14.662,-0.231483
14.664,-0.231102
14.666,-0.230723
14.668,-0.230344
14.67,-0.229966
14.672,-0.229588
14.674,-0.229211
14.676,-0.228835
14.678,-0.228459
14.68,-0.228084
14.682,-0.227709
14.684,-0.227335
14.686,-0.226962
14.688,-0.226589
14.69,-0.226217
14.692,-0.225845
14.694,-0.225474
14.696,-0.225104
14.698,-0.224735
14.7,-0.224366
14.702,-0.223998
14.704,-0.22363
14.706,-0.223263
14.708,-0.222897
14.71,-0.222531
14.712,-0.222166
14.714,-0.221802
14.716,-0.221439
14.718,-0.221076
14.72,-0.220714
14.722,-0.220352
14.724,-0.219992
14.726,-0.219632
14.728,-0.219272
14.73,-0.218914
14.732,-0.218556
14.734,-0.218199
14.736,-0.217842
14.738,-0.217487
14.74,-0.217132
14.742,-0.216778
14.744,-0.216424
14.746,-0.216072
14.748,-0.21572
14.75,-0.215369
14.752,-0.215019
14.754,-0.214669
14.756,-0.21432
14.758,-0.213973
14.76,-0.213626
14.762,-0.213279
14.764,-0.212934
14.766,-0.212589
14.768,-0.212246
14.77,-0.211903
14.772,-0.211561
14.774,-0.21122
14.776,-0.210879
14.778,-0.21054
14.78,-0.210201
14.782,-0.209864
14.784,-0.209527
14.786,-0.209191
14.788,-0.208857
14.79,-0.208523
14.792,-0.20819
14.794,-0.207858
14.796,-0.207527
14.798,-0.207197
14.8,-0.206867
14.802,-0.206539
14.804,-0.206212
14.806,-0.205886
14.808,-0.205561
14.81,-0.205237
14.812,-0.204914
14.814,-0.204593
14.816,-0.204272
14.818,-0.203952
14.82,-0.203634
14.822,-0.203316
14.824,-0.203
14.826,-0.202685
14.828,-0.202371
14.83,-0.202058
14.832,-0.201746
14.834,-0.201436
14.836,-0.201127
14.838,-0.200819
14.84,-0.200512
14.842,-0.200207
14.844,-0.199903
14.846,-0.1996
14.848,-0.199299
14.85,-0.198999
14.852,-0.1987
14.854,-0.198403
14.856,-0.198107
14.858,-0.197812
14.86,-0.197519
14.862,-0.197228
14.864,-0.196938
14.866,-0.196649
14.868,-0.196363
14.87,-0.196077
14.872,-0.195793
14.874,-0.195511
14.876,-0.195231
14.878,-0.194952
14.88,-0.194675
14.882,-0.1944
14.884,-0.194127
14.886,-0.193855
14.888,-0.193585
14.89,-0.193317
14.892,-0.193051
14.894,-0.192787
14.896,-0.192525
14.898,-0.192265
14.9,-0.192007
14.902,-0.191751
14.904,-0.191498
14.906,-0.191246
14.908,-0.190997
14.91,-0.19075
14.912,-0.190506
14.914,-0.190263
14.916,-0.190024
14.918,-0.189786
14.92,-0.189552
14.922,-0.18932
14.924,-0.18909
14.926,-0.188864
14.928,-0.18864
14.93,-0.188419
14.932,-0.188201
14.934,-0.187985
14.936,-0.187773
14.938,-0.187564
14.94,-0.187359
14.942,-0.187156
14.944,-0.186958
14.946,-0.186762
14.948,-0.18657
14.95,-0.186382
14.952,-0.186197
14.954,-0.186017
14.956,-0.18584
14.958,-0.185668
14.96,-0.185499
14.962,-0.185335
14.964,-0.185176
14.966,-0.185021
14.968,-0.18487
14.97,-0.184725
14.972,-0.184584
14.974,-0.184449
14.976,-0.184319
14.978,-0.184194
14.98,-0.184075
14.982,-0.183962
14.984,-0.183855
14.986,-0.183754
14.988,-0.18366
14.99,-0.183572
14.992,-0.183491
14.994,-0.183417
14.996,-0.183351
14.998,-0.183292
15,-0.183241
15.002,-0.183198
15.004,-0.183163
15.006,-0.183138
15.008,-0.183121
15.01,-0.183114
15.012,-0.183117
15.014,-0.18313
15.016,-0.183153
15.018,-0.183188
15.02,-0.183234
15.022,-0.183292
15.024,-0.183362
15.026,-0.183445
15.028,-0.183542
15.03,-0.183653
15.032,-0.183779
15.034,-0.18392
15.036,-0.184077
15.038,-0.184251
15.04,-0.184442
