T, f, Q_i
10, 8637914318, 4895.31143
11.95, 8637946318, 4881.56993
100, 8637919817, 4887.62180
300, 8637948311, 4796.02553
350, 8637949877, 4778.21257
450, 8637948438, 4741.62830
550, 8637857212, 4669.87725
650, 8637498154, 4412.82134
700, 8636981700, 4069.51100
750, 8636476318, 3704.57559
800, 8635452730, 3250.57999
850, 8634094699, 2847.18061
