T, f, Q_i
10, 7812106305, 214703.86494
11.95, 7812159600, 209850.24133
100, 7812132936, 202178.31582
200, 7812111147, 171400.14506
300, 7812133458, 179916.28086
350, 7812076883, 181450.37617
450, 7811857210, 150826.51571
550, 7811547438, 144717.65717
650, 7811211386, 9807.72418
700, 7810622295, 16248.69400
750, 7810637842, 2280.87454
800, 7809164909, 7245.39339
850, 7807963437, 5873.32887
