 Sonnet Data File
 From: sonnet Version : 18.56
 From Project: PC2_1_1_P4_2PORT
 Data is De-embedded 
 Data File Written: 05/21/2026 10:16:21
Project Date: 05/21/2026 09:46:34
R 50.00000
Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
Lk = 0.0
15.70000000000000,-0.292407754857,0.2679877511196,-0.617594742813,-0.672884300667,-0.617594742812,-0.672884300667,-0.292342413877,0.2680743929116
15.70050000000000,-0.292368163596,0.2679960470961,-0.617655381363,-0.672840819408,-0.617655381363,-0.672840819408,-0.292302957724,0.2680825729938
15.70100000000000,-0.292328572243,0.2680043522797,-0.617716021048,-0.672797316892,-0.617716021048,-0.672797316892,-0.292263502023,0.2680907620032
15.70150000000000,-0.292288980797,0.2680126667390,-0.617776661868,-0.672753793052,-0.617776661868,-0.672753793052,-0.292224046779,0.2680989600093
15.70200000000000,-0.292249389261,0.2680209905435,-0.617837303824,-0.672710247818,-0.617837303824,-0.672710247818,-0.292184591995,0.2681071670803
15.70250000000000,-0.292209797635,0.2680293237627,-0.617897946917,-0.672666681119,-0.617897946917,-0.672666681119,-0.292145137675,0.2681153832846
15.70300000000000,-0.292170205922,0.2680376664670,-0.617958591147,-0.672623092883,-0.617958591147,-0.672623092883,-0.292105683822,0.2681236086914
15.70350000000000,-0.292130614121,0.2680460187268,-0.618019236516,-0.672579483040,-0.618019236516,-0.672579483040,-0.292066230441,0.2681318433699
15.70400000000000,-0.292091022236,0.2680543806132,-0.618079883023,-0.672535851518,-0.618079883023,-0.672535851518,-0.292026777535,0.2681400873900
15.70450000000000,-0.292051430265,0.2680627521976,-0.618140530670,-0.672492198245,-0.618140530670,-0.672492198245,-0.291987325109,0.2681483408219
15.70500000000000,-0.292011838211,0.2680711335519,-0.618201179458,-0.672448523148,-0.618201179458,-0.672448523148,-0.291947873165,0.2681566037364
15.70550000000000,-0.291972246075,0.2680795247485,-0.618261829386,-0.672404826153,-0.618261829386,-0.672404826153,-0.291908421707,0.2681648762046
15.70600000000000,-0.291932653857,0.2680879258600,-0.618322480456,-0.672361107188,-0.618322480456,-0.672361107188,-0.291868970740,0.2681731582980
15.70650000000000,-0.291893061559,0.2680963369598,-0.618383132668,-0.672317366177,-0.618383132668,-0.672317366177,-0.291829520266,0.2681814500886
15.70700000000000,-0.291853469181,0.2681047581215,-0.618443786022,-0.672273603048,-0.618443786022,-0.672273603048,-0.291790070290,0.2681897516490
15.70750000000000,-0.291813876725,0.2681131894193,-0.618504440520,-0.672229817724,-0.618504440520,-0.672229817724,-0.291750620815,0.2681980630519
15.70800000000000,-0.291774284191,0.2681216309276,-0.618565096161,-0.672186010131,-0.618565096161,-0.672186010131,-0.291711171844,0.2682063843708
15.70850000000000,-0.291734691579,0.2681300827217,-0.618625752946,-0.672142180193,-0.618625752946,-0.672142180193,-0.291671723382,0.2682147156795
15.70900000000000,-0.291695098892,0.2681385448769,-0.618686410875,-0.672098327833,-0.618686410875,-0.672098327833,-0.291632275431,0.2682230570522
15.70950000000000,-0.291655506128,0.2681470174693,-0.618747069949,-0.672054452975,-0.618747069949,-0.672054452975,-0.291592827995,0.2682314085637
15.71000000000000,-0.291615913290,0.2681555005754,-0.618807730168,-0.672010555541,-0.618807730168,-0.672010555541,-0.291553381078,0.2682397702892
15.71050000000000,-0.291576320378,0.2681639942721,-0.618868391532,-0.671966635454,-0.618868391532,-0.671966635454,-0.291513934683,0.2682481423043
15.71100000000000,-0.291536727391,0.2681724986367,-0.618929054041,-0.671922692636,-0.618929054041,-0.671922692636,-0.291474488813,0.2682565246853
15.71150000000000,-0.291497134331,0.2681810137473,-0.618989717697,-0.671878727007,-0.618989717697,-0.671878727007,-0.291435043472,0.2682649175088
15.71200000000000,-0.291457541199,0.2681895396821,-0.619050382498,-0.671834738489,-0.619050382498,-0.671834738489,-0.291395598663,0.2682733208518
15.71250000000000,-0.291417947994,0.2681980765202,-0.619111048445,-0.671790727003,-0.619111048445,-0.671790727003,-0.291356154390,0.2682817347919
