C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_2port.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_2_5CELL_mod_2port
14.735,-1.04885
14.7355,-1.05242
14.736,-1.05606
14.7365,-1.05975
14.737,-1.0635
14.7375,-1.06732
14.738,-1.07119
14.7385,-1.07513
14.739,-1.07914
14.7395,-1.08321
14.74,-1.08735
14.7403,-1.08964
14.7405,-1.09156
14.741,-1.09584
14.7415,-1.10019
14.7415,-1.10034
14.742,-1.10461
14.7425,-1.10911
14.7427,-1.11122
14.743,-1.11368
14.7435,-1.11832
14.7439,-1.12228
14.744,-1.12305
14.7445,-1.12785
14.745,-1.13273
14.7451,-1.13352
14.7455,-1.1377
14.746,-1.14275
14.7462,-1.14493
14.7465,-1.14788
14.747,-1.1531
14.7473,-1.15649
14.7475,-1.1584
14.748,-1.1638
14.7484,-1.16821
14.7485,-1.16928
14.749,-1.17485
14.7495,-1.18007
14.7495,-1.18052
14.75,-1.18628
14.7505,-1.19206
14.7505,-1.19213
14.751,-1.19808
14.7515,-1.20413
14.7515,-1.20418
14.752,-1.21028
14.7525,-1.2164
14.7525,-1.21652
14.753,-1.22287
14.7535,-1.22872
14.7535,-1.22932
14.754,-1.23587
14.7544,-1.24113
14.7545,-1.24253
14.755,-1.24929
14.7553,-1.25362
14.7555,-1.25616
14.756,-1.26313
14.7562,-1.26616
14.7565,-1.27021
14.757,-1.2774
14.7571,-1.27875
14.7575,-1.28469
14.758,-1.29138
14.758,-1.2921
14.7585,-1.29961
14.7588,-1.30402
14.759,-1.30723
14.7595,-1.31496
14.7596,-1.31667
14.76,-1.32279
14.7604,-1.32931
14.7605,-1.33074
14.761,-1.33879
14.7612,-1.34193
14.7615,-1.34695
14.762,-1.3545
14.762,-1.35521
14.7625,-1.36357
14.7627,-1.36702
14.763,-1.37204
14.7634,-1.37947
14.7635,-1.3806
14.764,-1.38926
14.7641,-1.39183
14.7645,-1.39802
14.7648,-1.4041
14.765,-1.40687
14.7655,-1.4158
14.7655,-1.41625
14.766,-1.42482
14.7662,-1.42827
14.7665,-1.43392
14.7668,-1.44015
14.767,-1.4431
14.7675,-1.45188
14.7675,-1.45234
14.768,-1.46165
14.7681,-1.46343
14.7685,-1.47102
14.7687,-1.47481
14.769,-1.48043
14.7693,-1.486
14.7695,-1.4899
14.7699,-1.49698
14.77,-1.49939
14.7704,-1.50775
14.7705,-1.50892
14.771,-1.51829
14.771,-1.51846
14.7715,-1.52802
14.7715,-1.52861
14.772,-1.53757
14.7721,-1.53868
14.7725,-1.5471
14.7726,-1.54851
14.773,-1.55661
14.7731,-1.55809
14.7735,-1.56608
14.7736,-1.5674
14.774,-1.5755
14.7741,-1.57645
14.7745,-1.58485
14.7745,-1.58524
