 Sonnet Data File
 From: sonnet Version : 18.56
 From Project: Photon_Count_2_V5_PC_2_1_1_PIXEL3_2PORT_longsim
 Data is De-embedded 
 Data File Written: 05/21/2026 10:14:10
Project Date: 05/21/2026 09:42:46
R 50.00000
Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
Lk = 0.0
15.00000000000000,-0.066285212537,0.1743295198604,-0.916681791096,-0.336237257251,-0.916681791096,-0.336237257251,-0.066647154761,0.1743140336441
15.00050000000000,-0.066246776384,0.1742882022666,-0.916728054791,-0.336137395722,-0.916728054791,-0.336137395722,-0.066610651067,0.1742722875980
15.00100000000000,-0.066208346250,0.1742468829029,-0.916774306470,-0.336037517684,-0.916774306470,-0.336037517684,-0.066574157805,0.1742305396074
15.00150000000000,-0.066169922116,0.1742055618021,-0.916820546127,-0.335937623105,-0.916820546127,-0.335937623105,-0.066537674983,0.1741887897044
15.00200000000000,-0.066131503975,0.1741642389887,-0.916866773757,-0.335837711962,-0.916866773757,-0.335837711962,-0.066501202609,0.1741470379135
15.00250000000000,-0.066093091820,0.1741229144875,-0.916912989353,-0.335737784233,-0.916912989353,-0.335737784233,-0.066464740687,0.1741052842593
15.00300000000000,-0.066054685643,0.1740815883235,-0.916959192910,-0.335637839895,-0.916959192910,-0.335637839895,-0.066428289226,0.1740635287666
15.00350000000000,-0.066016285435,0.1740402605214,-0.917005384422,-0.335537878926,-0.917005384422,-0.335537878926,-0.066391848233,0.1740217714601
15.00400000000000,-0.065977891189,0.1739989311064,-0.917051563882,-0.335437901301,-0.917051563882,-0.335437901301,-0.066355417713,0.1739800123648
15.00450000000000,-0.065939502897,0.1739576001035,-0.917097731284,-0.335337906998,-0.917097731284,-0.335337906998,-0.066318997673,0.1739382515058
15.00500000000000,-0.065901120550,0.1739162675382,-0.917143886623,-0.335237895994,-0.917143886623,-0.335237895994,-0.066282588121,0.1738964889081
15.00550000000000,-0.065862744142,0.1738749334356,-0.917190029891,-0.335137868266,-0.917190029891,-0.335137868266,-0.066246189063,0.1738547245971
15.00600000000000,-0.065824373663,0.1738335978213,-0.917236161083,-0.335037823790,-0.917236161083,-0.335037823790,-0.066209800506,0.1738129585980
