T, f, Q_i
10, 7492294018, 278813.31224
11.95, 7492328607, 269814.06283
100, 7492295435, 235844.28685
300, 7492228263, 185902.83883
350, 7492218890, 186090.36891
450, 7492140181, 172884.79685
550, 7491971045, 110614.35338
650, 7491462542, 42856.68337 
700, 7490940653, 21320.96009 
750, 7490374088, 14738.47258
800, 7489378120, 8062.16226 
850, 7487677418, 5240.92983
