T, f, Q_i
10, 8397354005, 61100.94838
11.95, 8397394266, 56708.33767
100, 8397354559, 60075.26328
300, 8397362103, 57216.37450
350, 8397343534, 56852.83579
450, 8397317601, 55246.13210
550, 8397115136, 44353.09155
650, 8396690364, 20784.93641 
700, 8396032737, 15843.84663
750, 8395684419, 7537.83445
800, 8394738578, 5276.04414
850, 8393362348, 2478.10937
