T, f, Q_i
10, 7992514156, 195626.92719
11.95, 7992548630, 192084.62997
100, 7992522513, 182818.67320
300, 7992479737, 163769.10056
350, 7992437487, 161704.36862
450, 7992359672, 142280.55878
550, 7992070291, 77148.06220
650, 7991408832, 33877.15055
700, 7991013356, 20766.10456
750, 7990124414, 15253.29469
800, 7989327713, 9026.62730
850, 7987893197, 5815.39150
