7.457800000000000000e+09	1.364973709999999993e-02	1.123543389999999940e-02
7.457805000000000000e+09	1.381946310000000018e-02	1.127179160000000083e-02
7.457810000000000000e+09	1.380975310000000060e-02	1.123514909999999943e-02
7.457815000000000000e+09	1.378473929999999952e-02	1.125138799999999932e-02
7.457820000000000000e+09	1.369466849999999986e-02	1.124631289999999950e-02
7.457825000000000000e+09	1.385596130000000051e-02	1.124879850000000056e-02
7.457830000000000000e+09	1.391817480000000044e-02	1.114992440000000043e-02
7.457835000000000000e+09	1.389035090000000083e-02	1.119778299999999935e-02
7.457840000000000000e+09	1.391110180000000064e-02	1.108396730000000066e-02
7.457845000000000000e+09	1.388598559999999933e-02	1.111721400000000026e-02
7.457850000000000000e+09	1.392454289999999970e-02	1.106657269999999915e-02
7.457855000000000000e+09	1.386966589999999964e-02	1.106990639999999929e-02
7.457860000000000000e+09	1.394325180000000053e-02	1.096841729999999994e-02
7.457865000000000000e+09	1.393719610000000025e-02	1.099876839999999918e-02
7.457870000000000000e+09	1.406491600000000022e-02	1.097688900000000009e-02
7.457875000000000000e+09	1.410110619999999960e-02	1.093366469999999986e-02
7.457880000000000000e+09	1.396366909999999933e-02	1.088752320000000058e-02
7.457885000000000000e+09	1.404439730000000067e-02	1.090703219999999973e-02
7.457890000000000000e+09	1.407930920000000086e-02	1.089782100000000024e-02
7.457895000000000000e+09	1.412972179999999987e-02	1.075232459999999994e-02
7.457900000000000000e+09	1.412578540000000021e-02	1.078069759999999988e-02
7.457905000000000000e+09	1.418073310000000052e-02	1.074126409999999997e-02
7.457910000000000000e+09	1.415220669999999945e-02	1.072862620000000072e-02
7.457915000000000000e+09	1.422111839999999974e-02	1.065797540000000022e-02
7.457920000000000000e+09	1.420489989999999987e-02	1.073405380000000062e-02
7.457925000000000000e+09	1.429532709999999963e-02	1.066240019999999990e-02
7.457930000000000000e+09	1.421090120000000068e-02	1.066833220000000006e-02
7.457935000000000000e+09	1.423744319999999987e-02	1.054808850000000034e-02
7.457940000000000000e+09	1.422783279999999956e-02	1.051264009999999978e-02
7.457945000000000000e+09	1.432567470000000072e-02	1.049683419999999923e-02
7.457950000000000000e+09	1.432215390000000053e-02	1.052217939999999970e-02
7.457955000000000000e+09	1.435759550000000051e-02	1.048293860000000001e-02
7.457960000000000000e+09	1.438027260000000057e-02	1.046688049999999932e-02
7.457965000000000000e+09	1.431725460000000082e-02	1.044990399999999944e-02
7.457970000000000000e+09	1.440409699999999939e-02	1.040207760000000023e-02
7.457975000000000000e+09	1.433141060000000036e-02	1.034403230000000007e-02
7.457980000000000000e+09	1.443363089999999925e-02	1.035898019999999947e-02
7.457985000000000000e+09	1.444101690000000084e-02	1.039213309999999918e-02
7.457990000000000000e+09	1.450329579999999965e-02	1.030394519999999932e-02
7.457995000000000000e+09	1.448252189999999981e-02	1.026606109999999954e-02
7.458000000000000000e+09	1.448417150000000028e-02	1.022108660000000009e-02
7.458005000000000000e+09	1.450739239999999930e-02	1.025544599999999966e-02
7.458010000000000000e+09	1.455206390000000037e-02	1.019926300000000008e-02
7.458015000000000000e+09	1.452077180000000030e-02	1.017047039999999930e-02
7.458020000000000000e+09	1.453141309999999957e-02	1.010749929999999949e-02
7.458025000000000000e+09	1.467837559999999979e-02	1.009765420000000025e-02
7.458030000000000000e+09	1.463580379999999959e-02	1.011503530000000019e-02
7.458035000000000000e+09	1.466472329999999984e-02	9.988901200000000619e-03
7.458040000000000000e+09	1.468282620000000045e-02	1.005013069999999981e-02
7.458045000000000000e+09	1.463660200000000029e-02	9.940368999999999247e-03
7.458050000000000000e+09	1.471984370000000049e-02	9.898152699999999277e-03
7.458055000000000000e+09	1.467216650000000011e-02	9.921760199999999155e-03
7.458060000000000000e+09	1.474963739999999961e-02	9.831896099999999292e-03
7.458065000000000000e+09	1.476010179999999970e-02	9.924000500000000266e-03
7.458070000000000000e+09	1.471516489999999920e-02	9.860091099999999248e-03
7.458075000000000000e+09	1.474758190000000080e-02	9.806783200000000408e-03
7.458080000000000000e+09	1.474652130000000082e-02	9.805614000000000691e-03
7.458085000000000000e+09	1.472682189999999919e-02	9.742455299999999360e-03
7.458090000000000000e+09	1.487909729999999965e-02	9.721117899999999479e-03
7.458095000000000000e+09	1.487773889999999960e-02	9.721048799999999768e-03
7.458100000000000000e+09	1.487537509999999931e-02	9.728770100000000767e-03
7.458105000000000000e+09	1.489917299999999993e-02	9.625898199999999988e-03
7.458110000000000000e+09	1.489382220000000021e-02	9.592849100000000115e-03
7.458115000000000000e+09	1.492774860000000044e-02	9.588976299999999592e-03
7.458120000000000000e+09	1.491711759999999991e-02	9.461288800000000263e-03
7.458125000000000000e+09	1.490036240000000047e-02	9.528609000000000384e-03
7.458130000000000000e+09	1.501114469999999951e-02	9.518108299999999619e-03
7.458135000000000000e+09	1.506399129999999933e-02	9.504980099999999280e-03
7.458140000000000000e+09	1.497275630000000080e-02	9.423933500000000393e-03
7.458145000000000000e+09	1.506000270000000009e-02	9.506979400000000607e-03
7.458150000000000000e+09	1.503422329999999987e-02	9.420090500000000491e-03
7.458155000000000000e+09	1.509655069999999918e-02	9.318067500000000794e-03
7.458160000000000000e+09	1.513457929999999924e-02	9.359331300000000783e-03
7.458165000000000000e+09	1.511557260000000007e-02	9.294275700000000084e-03
7.458170000000000000e+09	1.507398520000000075e-02	9.262025400000000255e-03
7.458175000000000000e+09	1.517358230000000023e-02	9.238063799999999756e-03
7.458180000000000000e+09	1.512808170000000049e-02	9.188258100000000830e-03
7.458185000000000000e+09	1.520816850000000081e-02	9.210183199999999459e-03
7.458190000000000000e+09	1.518066040000000047e-02	9.209226200000000112e-03
7.458195000000000000e+09	1.523890940000000027e-02	9.078688300000000225e-03
7.458200000000000000e+09	1.515503600000000020e-02	9.103330300000000291e-03
7.458205000000000000e+09	1.522513150000000086e-02	9.087088499999999847e-03
7.458210000000000000e+09	1.524802960000000082e-02	9.072458999999999732e-03
7.458215000000000000e+09	1.525825570000000075e-02	9.016684000000000504e-03
7.458220000000000000e+09	1.523257469999999940e-02	9.011226400000000789e-03
7.458225000000000000e+09	1.531266620000000002e-02	8.960892700000000488e-03
7.458230000000000000e+09	1.526263219999999914e-02	8.887499599999999431e-03
7.458235000000000000e+09	1.534158050000000023e-02	8.871116599999999408e-03
7.458240000000000000e+09	1.538637739999999983e-02	8.885563500000000572e-03
7.458245000000000000e+09	1.534201840000000081e-02	8.848085300000000861e-03
7.458250000000000000e+09	1.535409650000000084e-02	8.806876899999999814e-03
7.458255000000000000e+09	1.541418890000000042e-02	8.826045100000000712e-03
7.458260000000000000e+09	1.542254529999999985e-02	8.739690499999999349e-03
7.458265000000000000e+09	1.546316799999999936e-02	8.707758799999999744e-03
7.458270000000000000e+09	1.542195149999999945e-02	8.680903300000000766e-03
7.458275000000000000e+09	1.544901620000000038e-02	8.614420399999999506e-03
7.458280000000000000e+09	1.544267950000000056e-02	8.686739400000000749e-03
7.458285000000000000e+09	1.552978590000000068e-02	8.589019899999999694e-03
7.458290000000000000e+09	1.551347529999999933e-02	8.568016399999999616e-03
7.458295000000000000e+09	1.548532510000000077e-02	8.555122499999999811e-03
7.458300000000000000e+09	1.554791200000000054e-02	8.517208899999999944e-03
7.458305000000000000e+09	1.553948469999999991e-02	8.522676599999999200e-03
7.458310000000000000e+09	1.555760680000000014e-02	8.505499200000000634e-03
7.458315000000000000e+09	1.562932809999999922e-02	8.382931899999999589e-03
7.458320000000000000e+09	1.562205749999999969e-02	8.386591299999999333e-03
7.458325000000000000e+09	1.560629730000000041e-02	8.408467899999999204e-03
7.458330000000000000e+09	1.563680289999999987e-02	8.404410500000000783e-03
7.458335000000000000e+09	1.562183829999999954e-02	8.339475199999999908e-03
7.458340000000000000e+09	1.558324439999999970e-02	8.282805900000000596e-03
7.458345000000000000e+09	1.572722199999999904e-02	8.242122399999999433e-03
7.458350000000000000e+09	1.562187330000000020e-02	8.262028299999999922e-03
7.458355000000000000e+09	1.568194540000000109e-02	8.236704900000000815e-03
