T_mK	Q_c_complex	|Q_c|	err_|Q_c|	Phase_Q_c	err_Phase
10.0	(1383.5144254511706-422.4847351935523j)	1446.584085666315	0.2543623205290536	-0.29637670784600534	0.00013918015098697854
200.0	(1399.8944304382278-401.59794944571524j)	1456.3603020444405	0.3980872058262916	-0.27937457786106273	0.00022752228967060418
300.0	(1421.5830123422577-387.45662750505704j)	1473.4384612794931	0.4927775918912413	-0.2660897771475161	0.00028767584026093227
400.0	(1430.1078752196845-369.89084228653115j)	1477.1688359740062	0.5028667898968232	-0.25309882559974606	0.0002921442377362529
500.0	(1436.2647779076358-354.9215191429301j)	1479.4680790773405	0.5051026053024171	-0.24226084129765604	0.0002922602140569645
550.0	(1438.039990103344-350.06839055734264j)	1480.036111452634	0.5073700420430743	-0.2387897853069225	0.0002931600205245232
600.0	(1438.7891548645828-342.380815865981j)	1478.9654678960544	0.517746958487847	-0.23361950166684411	0.00029885988169781784
650.0	(1457.8069559468315-339.70630218446377j)	1496.8638857794685	0.6243788181069407	-0.22894004437361065	0.000364276472004643
675.0	(1435.5490248330725-333.2669693138855j)	1473.7258481599783	0.6278717458837805	-0.22811222374605092	0.00037109062199155773
700.0	(1409.325831315912-328.3739905086554j)	1447.0759401140165	0.6554555508210843	-0.22891650908650368	0.0003673316689617701
725.0	(1383.4111869786695-322.9056206900895j)	1420.5965479793983	0.5009018087475807	-0.22930711862270928	0.000285262711102259
750.0	(1398.5401027949197-305.41439733377354j)	1431.5000430402986	0.7413145667880108	-0.21500539457839474	0.00042501088869555055
775.0	(1451.5500403058036-317.71060652917504j)	1485.9130354811875	0.6913485639295287	-0.215478691975364	0.0003826285342111548
800.0	(1391.2812297338373-297.62875465086825j)	1422.76011182656	0.567009926891231	-0.2107476857423791	0.0003232182352493079
825.0	(1316.9877032949385-277.84507191890793j)	1345.9771523394072	0.6532499871517312	-0.2079211705804865	0.0003891908069557941
850.0	(1338.0277333611957-279.48098463277296j)	1366.9044721614614	0.6735021686940214	-0.20591478418188103	0.0003881085127637302
875.0	(1436.1028650085343-277.8693550992064j)	1462.7381233115411	1.433186177495665	-0.19112671139219164	0.000822151692301476
900.0	(1465.0401824479484-277.7532903924107j)	1491.1370247267448	0.9215173243380662	-0.18736377880895716	0.0004850960681078504
925.0	(1472.1819213717843-285.9145883482412j)	1499.6888882179073	1.159955624520651	-0.19182350306264093	0.0006597539864235694
950.0	(1386.205139561512-265.26524328576266j)	1411.3576223771936	1.102480610406498	-0.18907494833499136	0.0006075420014415095
975.0	(1408.1537884765517-216.4824506164414j)	1424.6970707577682	1.3663905589293541	-0.15254069277832785	0.0007890372437250747
1000.0	(1457.3765456246117-201.7183713798202j)	1471.27043642182	1.2515616812100454	-0.13753810864075883	0.0006952652172425863
