frequency,Re(S21),Im(S21),Amplitude,phase
7811500000.0,-0.0070582935,0.0087281252,0.011224957756669611,2.2508098883619425
7811501001.0,-0.0070322892,0.0087767912,0.011246561926243685,2.246291037153296
7811502002.0,-0.0070322862,0.0087663546,0.01123841724495276,2.2468715007926154
7811503003.0,-0.0070123455,0.0087591637,0.011220335918980676,2.2458862512581486
7811504004.0,-0.0070087812,0.0087901772,0.011242340909120008,2.24391469407371
7811505005.0,-0.0070117192,0.0087658973,0.011225202074519458,2.2454677997275345
7811506006.0,-0.0069808712,0.0087882458,0.011223449868565685,2.242077626658485
7811507007.0,-0.0069895783,0.0087900547,0.01123028345327147,2.2425845384381837
7811508008.0,-0.0069688033,0.0087978009,0.011223436198871168,2.2407061526433165
7811509009.0,-0.0069642141,0.0088132301,0.011232689029176622,2.239533005166951
7811510010.0,-0.0069703692,0.0088154354,0.01123823598594912,2.2398410650862424
7811511011.0,-0.0069336673,0.0087927565,0.011197692132550419,2.2385262213385895
7811512012.0,-0.0069133836,0.0088105642,0.011199147928439493,2.2361194310935946
7811513013.0,-0.006906985,0.0088035617,0.011189689021413056,2.236055876782133
7811514014.0,-0.0068728128,0.0088089207,0.011172852799653826,2.233353509219016
7811515015.0,-0.0068779499,0.0087992829,0.011168418615951966,2.234246988536862
7811516016.0,-0.0068802063,0.0088246547,0.011189806490944863,2.2330095052729946
7811517017.0,-0.0068585874,0.0087851869,0.01114539052664241,2.233657121339035
7811518018.0,-0.0068487001,0.0088284239,0.011173440008244159,2.2305783460640485
7811519019.0,-0.006820236,0.0087906886,0.011126177472872971,2.230635816669644
7811520020.0,-0.0068307016,0.008808423,0.011146604868531564,2.2304023610000057
7811521021.0,-0.0068229759,0.0088212757,0.011152035917597796,2.229148660007433
7811522022.0,-0.0067952492,0.0087924454,0.01111226834638553,2.2287623243223114
7811523023.0,-0.0067939465,0.0088127291,0.01112752907139986,2.2275550115125893
7811524024.0,-0.0067894295,0.0088230062,0.01113291477290241,2.226670061905658
7811525025.0,-0.0067903191,0.0088167912,0.011128532721981917,2.2270740011875985
7811526026.0,-0.0067522849,0.0088216427,0.011109218302708399,2.224095068366161
7811527027.0,-0.0067274549,0.008827756,0.011099005605326543,2.2219838142663813
7811528028.0,-0.0067439332,0.008808094,0.011093383384653136,2.2242395761558025
7811529029.0,-0.0067134704,0.0088094444,0.011075964763774192,2.2219816887805783
7811530030.0,-0.0067138208,0.0088355157,0.011096924232392466,2.220582751930901
7811531031.0,-0.0066873085,0.0088003854,0.011052912655164945,2.2205958677256454
7811532032.0,-0.0066757672,0.0088371311,0.011075231545533621,2.2177587787114055
7811533033.0,-0.0066817813,0.0088122341,0.011059008598162518,2.219549700883179
7811534034.0,-0.006694973,0.008813975,0.01106837019490015,2.2204043708421564
7811535035.0,-0.0066497441,0.0088264044,0.011050995938277425,2.216464901659868
7811536036.0,-0.0066316934,0.0088174659,0.011032998787694412,2.215645680502627
7811537037.0,-0.0066380987,0.0088173173,0.011036731342196428,2.216117593248027
7811538038.0,-0.0066357928,0.008798917,0.011020648186809196,2.216954636323082
7811539039.0,-0.0066043097,0.0088124879,0.011012576882871716,2.2139301300852114
7811540040.0,-0.0065836201,0.0088093369,0.01099765748870302,2.2125965216400068
7811541041.0,-0.0065884319,0.0088395427,0.011024742629470355,2.2113059690027383
7811542042.0,-0.0065616682,0.0088064704,0.010982231579827818,2.2111516508057925
7811543043.0,-0.006557981,0.0088289084,0.010998033384744364,2.20966384151076
7811544044.0,-0.0065619886,0.0088239411,0.010996437192236364,2.2102257619241206
7811545045.0,-0.0065448936,0.0088149863,0.010979053497661291,2.209463038273444
7811546046.0,-0.0065128187,0.0088202495,0.010964196671955495,2.206828078374193
7811547047.0,-0.0064982503,0.0088362933,0.010968470095919256,2.204890721550629
7811548048.0,-0.0065021726,0.0088196602,0.010957401816290884,2.206078420218063
7811549049.0,-0.0064865037,0.0088294009,0.01095595958841737,2.2043996854488195
7811550050.0,-0.0065014788,0.0088081749,0.010947747332480754,2.206649952181026
7811551051.0,-0.0064492569,0.008831343,0.010935517077205203,2.2015496108008277
7811552052.0,-0.0064668557,0.0088067479,0.010926071170314465,2.204177963974886
7811553053.0,-0.006452793,0.0088114366,0.010921536176594781,2.20288601297591
7811554054.0,-0.0064420097,0.0088015774,0.010907211087307555,2.202622446275962
7811555055.0,-0.0064108106,0.0088124241,0.01089758280846414,2.199724332175284
7811556056.0,-0.0064415285,0.0088305489,0.010930319450574327,2.2010214464193276
7811557057.0,-0.0063864772,0.0087976128,0.010871296243081764,2.1987157817955247
7811558058.0,-0.0063718283,0.0088141651,0.010876106945720004,2.1967317528068993
7811559059.0,-0.006385715,0.0087978779,0.010871063039304548,2.198644717194042
7811560060.0,-0.006360049,0.0087915644,0.010850890649239275,2.197072242858343
7811561061.0,-0.0063866381,0.0087953463,0.010869556695527895,2.198850257563035
7811562062.0,-0.0063609267,0.0088068725,0.01086381110448949,2.196311788347551
7811563063.0,-0.0063334678,0.0088205186,0.010858838001673237,2.1935260474537515
7811564064.0,-0.0063278287,0.0088084049,0.010845709425339023,2.1937551510448206
7811565065.0,-0.006311564,0.0088217136,0.010847048951974032,2.1918215080818806
7811566066.0,-0.0062983048,0.0088156229,0.010834382791313378,2.191153312830284
7811567067.0,-0.0062823883,0.0088097765,0.01082037729157025,2.1902705217027667
7811568068.0,-0.0062923754,0.0088178004,0.01083270935956307,2.190591088045436
7811569069.0,-0.0062791843,0.0088025268,0.01081261455606759,2.190418550886554
7811570070.0,-0.0062496492,0.008811908,0.010803140178833406,2.187688564854457
7811571071.0,-0.0062259602,0.0087916152,0.010772886253778747,2.1869846491477762
7811572072.0,-0.0062586976,0.008812494,0.010808854987845926,2.188340030605718
7811573073.0,-0.0062230541,0.00881282,0.010788521617159916,2.1856289028481846
7811574074.0,-0.0062188979,0.0087958159,0.010772235999889588,2.186224253725724
7811575075.0,-0.0062016646,0.0087659887,0.010737932841074247,2.1865174232971722
7811576076.0,-0.0061820195,0.0087990278,0.010753615918543543,2.183251626393312
7811577077.0,-0.0061567006,0.008805219,0.010744153941376742,2.180992154137329
7811578078.0,-0.0061778577,0.0087981982,0.010750544978182851,2.182979228287488
7811579079.0,-0.0061399079,0.0088059706,0.010735156600094234,2.179670057811663
7811580080.0,-0.0061261967,0.0087996059,0.01072209634364501,2.178960593356601
7811581081.0,-0.0061230143,0.0087864274,0.010709463598774461,2.1794198042192994
7811582082.0,-0.0061158573,0.0087997783,0.010716333731417392,2.178159570209324
7811583083.0,-0.0061313348,0.0087828919,0.010711323753709279,2.180245829026695
7811584084.0,-0.0060856402,0.0088008891,0.010700031102494742,2.1757813616510706
7811585085.0,-0.0060848537,0.0088013543,0.01069996645156106,2.1756961756842657
7811586086.0,-0.0060617498,0.0087694433,0.010660579085102035,2.1756157687675013
7811587087.0,-0.0060578667,0.0087752547,0.010663153567535309,2.1750063151188725
7811588088.0,-0.0060345888,0.0087970261,0.010667892490514079,2.1720511656372814
7811589089.0,-0.0060404571,0.0087865779,0.010662601613570154,2.173059312724518
7811590090.0,-0.0060253599,0.0087734861,0.010643261730852118,2.172587247378188
7811591091.0,-0.0060150482,0.0087647034,0.010630184877898165,2.1722553516556444
7811592092.0,-0.0059923166,0.0087728381,0.010624055090380845,2.1700579365729107
7811593093.0,-0.0059618225,0.0087798399,0.010612677145336055,2.167313119648165
7811594094.0,-0.0059706506,0.0087830867,0.010620323938891753,2.1678290670018554
7811595095.0,-0.0059517718,0.0087764047,0.010604191011928131,2.166710985496665
7811596096.0,-0.0059127254,0.0087664919,0.010574105252387587,2.1641809844891258
7811597097.0,-0.0059441658,0.008759959,0.01058631138497119,2.1669882696825145
7811598098.0,-0.0059149705,0.0087824219,0.010588569801699843,2.163515523835952
7811599099.0,-0.005926693,0.0087972642,0.010607428874182973,2.163650499899119
7811600100.0,-0.0058989122,0.0087755612,0.010573913160143424,2.1626183499118303
7811601101.0,-0.0058940669,0.0087797297,0.010574671542262564,2.1620181670119893
7811602102.0,-0.0058816774,0.0087652001,0.010555702810836934,2.161810879910116
7811603103.0,-0.0058715851,0.0087757522,0.010558851180992507,2.160460347014649
7811604104.0,-0.0058741577,0.0087514281,0.010540076967173384,2.1619465177685067
7811605105.0,-0.005829759,0.0087507191,0.01051480740504484,2.158478153181164
7811606106.0,-0.0058334323,0.0087408994,0.010508675212394932,2.1592871412682
7811607107.0,-0.0058294958,0.0087632153,0.010525063594884913,2.1577990739614306
7811608108.0,-0.0058195333,0.008765394,0.010521363970752312,2.156896003235621
7811609109.0,-0.0057998194,0.008731165,0.010481943871717754,2.1571353545634935
7811610110.0,-0.0058018594,0.0087502622,0.010498983811117968,2.1562907480298135
7811611111.0,-0.0057931579,0.008733838,0.0104804868524595,2.1564647888930866
7811612112.0,-0.0057755233,0.008744792,0.010479888191775087,2.1544847510258225
7811613113.0,-0.0057607099,0.0087541457,0.010479544145085057,2.152813331792684
7811614114.0,-0.0057564365,0.0087580167,0.010480430224757527,2.152269677000085
7811615115.0,-0.005745236,0.0087276731,0.010448924080313705,2.152968950056275
7811616116.0,-0.0057080965,0.0087278861,0.010428727699383345,2.1499830946144476
7811617117.0,-0.0057221623,0.0087312989,0.010439287421499731,2.150931800047567
7811618118.0,-0.0057228472,0.0087437976,0.010450118494271422,2.150331025901921
7811619119.0,-0.0056666582,0.0087075862,0.010389084299689636,2.1477144588551424
7811620120.0,-0.0056717395,0.0087289622,0.010409774735549713,2.1470035384958583
7811621121.0,-0.0056638476,0.0087450291,0.01041895885373738,2.1455281846331062
7811622122.0,-0.0056448921,0.0087186876,0.010386545156452947,2.145375046404697
7811623123.0,-0.0056161881,0.0087182335,0.010370591310774129,2.1430754691208427
7811624124.0,-0.0056218377,0.0087175023,0.010373037427660551,2.1435715074489576
7811625125.0,-0.0055828242,0.008721749,0.010355521795984337,2.1401831134970046
7811626126.0,-0.005606223,0.008724414,0.01037039709794784,2.1419449050373935
7811627127.0,-0.0055825853,0.0087079014,0.010343732663980545,2.1408853986389103
7811628128.0,-0.005565181,0.0087053495,0.010332199643827604,2.139600620348503
7811629129.0,-0.0055740949,0.0087005435,0.01033295655413291,2.1405779786335453
7811630130.0,-0.0055629657,0.0086822492,0.010311548794932656,2.140626257697233
